sym,date,gap_pct,gap_bucket,level,time_bucket,break_time,rvol,std_result,std_ret,ret_30m,ret_1h,ret_2h,ret_3h,retest_found,rt_result,rt_ret
CAT,2026-06-08,1.353,gap_1_2,PMH,early,09:32,0.92,SL,-0.5,-1.791,-1.322,-1.911,-1.71,0,,
CAT,2026-06-09,1.293,gap_1_2,BOTH,early,09:37,1.24,SL,-0.5,0.218,-1.054,-3.78,-4.594,1,SL,-0.5
CAT,2026-06-11,1.896,gap_1_2,PMH,early,09:31,1.36,SL,-0.5,0.093,0.628,0.683,0.389,0,,
CAT,2026-06-15,2.694,gap_2plus,PMH,early,09:44,0.76,SL,-0.5,-0.475,-0.668,-0.323,-0.159,1,SL,-0.5
CME,2026-02-27,1.062,gap_1_2,PMH,early,09:35,0.88,SL,-0.5,-1.255,-0.922,-1.196,-0.705,1,SL,-0.5
CME,2026-03-02,1.029,gap_1_2,PMH,early,09:38,0.88,TP,1.0,0.564,0.491,0.506,0.441,1,TP,1.0
CME,2026-03-12,1.619,gap_1_2,PDH,early,09:31,1.02,TP,1.0,1.036,1.169,0.799,1.075,1,TP,1.0
CME,2026-03-26,1.201,gap_1_2,PMH,mid,11:43,0.94,EOD,-0.1006,-0.154,0.096,0.345,0.59,1,EOD,-0.1643
CME,2026-05-12,1.161,gap_1_2,PDH,mid,10:18,1.47,TP,1.0,-0.116,0.47,0.63,0.682,1,TP,1.0
CME,2026-05-15,1.203,gap_1_2,PMH,early,09:45,1.01,SL,-0.5,-0.628,-0.872,-1.286,-1.483,1,SL,-0.5
CME,2026-05-21,1.33,gap_1_2,PMH,early,09:39,0.96,SL,-0.5,0.42,0.264,-0.663,-0.4,1,SL,-0.5
CME,2026-06-03,1.473,gap_1_2,PMH,early,09:32,1.76,SL,-0.5,0.834,0.329,-1.011,-0.484,0,,
CME,2026-06-04,1.476,gap_1_2,BOTH,early,09:31,1.21,SL,-0.5,-0.418,-0.281,-1.189,-0.738,1,SL,-0.5
CME,2026-06-10,1.256,gap_1_2,PMH,early,09:32,0.86,SL,-0.5,0.825,0.326,1.082,0.929,0,,
CSCO,2026-01-15,1.102,gap_1_2,PMH,early,09:32,1.14,EOD,-0.1194,0.484,0.173,0.849,0.484,1,EOD,-0.1989
CSCO,2026-01-26,2.534,gap_2plus,PMH,early,09:40,1.46,SL,-0.5,-0.117,-0.437,0.144,0.431,1,SL,-0.5
CSCO,2026-02-04,1.005,gap_1_2,PMH,early,09:35,2.39,SL,-0.5,-1.13,-1.002,-1.68,-2.663,1,SL,-0.5
CSCO,2026-02-06,1.451,gap_1_2,PDH,early,09:31,1.16,SL,-0.5,0.06,-0.401,0.203,0.359,1,SL,-0.5
CSCO,2026-03-10,1.234,gap_1_2,PDH,early,09:59,0.81,TP,1.0,0.902,1.611,1.521,1.257,1,TP,1.0
CSCO,2026-03-23,1.217,gap_1_2,PDH,mid,10:19,0.71,SL,-0.5,0.417,0.323,-0.272,-0.493,1,SL,-0.5
CSCO,2026-05-05,1.252,gap_1_2,PMH,early,09:32,0.79,EOD,0.533,0.512,0.16,-0.336,0.533,1,SL,-0.5
