symbol,entry_time,exit_time,entry,exit,pnl,slack,tier,result
AAPL,2026-01-21 14:14:00+00:00,2026-01-21 14:17:00+00:00,247.76,247.63612,-0.1,0.7869360892505108,expanded,loss
AAPL,2026-01-21 15:50:00+00:00,2026-01-21 15:55:00+00:00,248.56,248.80855999999997,0.2,0.7106082569173767,expanded,win
AAPL,2026-01-21 17:25:00+00:00,2026-01-21 17:27:00+00:00,246.0199,246.26591989999997,0.2,0.6672021730582933,expanded,win
AAPL,2026-01-21 17:43:00+00:00,2026-01-21 17:49:00+00:00,246.0351,245.91208245,-0.1,0.6249234126667894,expanded,loss
AAPL,2026-01-21 17:54:00+00:00,2026-01-21 18:00:00+00:00,246.33,246.57632999999998,0.2,0.7442703939843132,expanded,win
AAPL,2026-01-21 18:12:00+00:00,2026-01-21 18:17:00+00:00,246.33,246.57632999999998,0.2,0.6091746527280499,expanded,win
AAPL,2026-01-21 18:30:00+00:00,2026-01-21 18:36:00+00:00,245.925,245.8020375,-0.1,0.6144705770297717,expanded,loss
AAPL,2026-01-21 18:50:00+00:00,2026-01-21 18:57:00+00:00,246.16,246.40615999999997,0.2,1.1523033654806272,expanded,win
AAPL,2026-01-21 19:06:00+00:00,2026-01-21 19:25:00+00:00,245.855,245.73207250000002,-0.1,0.839584437595894,expanded,loss
AAPL,2026-01-21 21:35:00+00:00,2026-01-21 21:44:00+00:00,247.88,247.75606000000002,-0.2,1.4165804764121526,core,loss
AAPL,2026-01-21 22:20:00+00:00,2026-01-21 22:36:00+00:00,247.8,248.0478,0.2,0.8707209319768039,expanded,win
AAPL,2026-01-22 00:47:00+00:00,2026-01-22 00:57:00+00:00,248.66,248.53567,-0.1,1.223425298525879,expanded,loss
AAPL,2026-01-22 10:08:00+00:00,2026-01-22 10:25:00+00:00,249.81,249.68509500000002,-0.1,1.011618776200542,expanded,loss
AAPL,2026-01-22 13:01:00+00:00,2026-01-22 13:02:00+00:00,249.67,249.545165,-0.2,3.6162839604377837,core,loss
AAPL,2026-01-22 14:17:00+00:00,2026-01-22 14:25:00+00:00,249.61,249.48519500000003,-0.1,0.8098363205316561,expanded,loss
AAPL,2026-01-22 14:27:00+00:00,2026-01-22 14:28:00+00:00,249.85,250.09984999999998,0.2,0.671500473862529,expanded,win
AAPL,2026-01-22 14:32:00+00:00,2026-01-22 14:33:00+00:00,249.11,249.35911,0.2,0.7082231623472388,expanded,win
AAPL,2026-01-22 15:50:00+00:00,2026-01-22 15:53:00+00:00,249.1537,249.40285369999995,0.2,0.6193653251857841,expanded,win
META,2026-01-02 11:22:00+00:00,2026-01-02 11:45:00+00:00,665.06,665.7250599999999,0.2,1.2370934007473118,expanded,win
META,2026-01-02 14:27:00+00:00,2026-01-02 14:30:00+00:00,662.22,662.88222,0.4,2.129850771982724,core,win
META,2026-01-02 16:54:00+00:00,2026-01-02 16:56:00+00:00,646.35,646.99635,0.2,0.7897065333486443,expanded,win
META,2026-01-02 17:49:00+00:00,2026-01-02 18:00:00+00:00,650.48,651.1304799999999,0.2,1.0609720513455894,expanded,win
META,2026-01-02 18:10:00+00:00,2026-01-02 18:15:00+00:00,651.7556,652.4073555999998,0.2,0.929938593181291,expanded,win
META,2026-01-02 19:12:00+00:00,2026-01-02 19:18:00+00:00,651.43,651.104285,-0.1,0.6118062898064196,expanded,loss
META,2026-01-02 19:36:00+00:00,2026-01-02 19:42:00+00:00,653.18,653.8331799999999,0.2,0.8331816947141188,expanded,win
META,2026-01-02 20:13:00+00:00,2026-01-02 20:48:00+00:00,651.16,650.83442,-0.1,0.9150201543945382,expanded,loss
META,2026-01-02 20:50:00+00:00,2026-01-02 20:51:00+00:00,650.87,650.544565,-0.2,1.996726249566544,core,loss
META,2026-01-02 21:49:00+00:00,2026-01-02 22:37:00+00:00,649.71,649.3851450000001,-0.1,0.6364395466268004,expanded,loss
META,2026-01-05 09:56:00+00:00,2026-01-05 10:39:00+00:00,650.25,649.924875,-0.1,0.8194354151177076,expanded,loss
META,2026-01-05 13:00:00+00:00,2026-01-05 13:22:00+00:00,649.51,649.185245,-0.2,2.7912175603684424,core,loss
META,2026-01-05 13:41:00+00:00,2026-01-05 14:03:00+00:00,649.35,649.0253250000001,-0.2,1.7010649184737872,core,loss
META,2026-01-05 14:30:00+00:00,2026-01-05 14:31:00+00:00,650.8837,651.5345836999999,0.4,2.6498164347719926,core,win
META,2026-01-05 16:42:00+00:00,2026-01-05 17:02:00+00:00,662.22,662.88222,0.2,0.7183980880173486,expanded,win
META,2026-01-05 17:32:00+00:00,2026-01-05 17:36:00+00:00,661.63,661.2991850000001,-0.1,0.6848337458477611,expanded,loss
META,2026-01-05 17:55:00+00:00,2026-01-05 18:01:00+00:00,661.445,661.1142775000001,-0.1,0.7263006768435823,expanded,loss
META,2026-01-06 14:30:00+00:00,2026-01-06 14:33:00+00:00,661.075,661.736075,0.2,0.8972349820312361,expanded,win
META,2026-01-06 15:39:00+00:00,2026-01-06 15:40:00+00:00,658.705,659.363705,0.4,1.4222384785285884,core,win
META,2026-01-06 18:18:00+00:00,2026-01-06 18:37:00+00:00,658.96,658.63052,-0.1,0.6560721967941229,expanded,loss
META,2026-01-06 18:55:00+00:00,2026-01-06 18:59:00+00:00,661.575,661.2442125000001,-0.1,0.6022441709789158,expanded,loss
META,2026-01-06 20:10:00+00:00,2026-01-06 20:13:00+00:00,660.38,661.0403799999999,0.2,0.6942786585594061,expanded,win
META,2026-01-06 21:37:00+00:00,2026-01-06 22:01:00+00:00,659.7,660.3597,0.2,0.7684609460470797,expanded,win
META,2026-01-07 13:00:00+00:00,2026-01-07 13:15:00+00:00,658.13,658.7881299999999,0.2,0.6745175265874526,expanded,win
META,2026-01-07 14:28:00+00:00,2026-01-07 14:30:00+00:00,655.5,656.1555,0.2,1.2336358401337932,expanded,win
META,2026-01-07 14:51:00+00:00,2026-01-07 14:55:00+00:00,653.9,653.57305,-0.1,0.6420105840977253,expanded,loss
META,2026-01-07 16:13:00+00:00,2026-01-07 16:14:00+00:00,650.7444,650.4190278000001,-0.1,0.8647799065267538,expanded,loss
META,2026-01-07 17:15:00+00:00,2026-01-07 17:22:00+00:00,653.2,652.8734000000001,-0.1,0.8568279177000272,expanded,loss
