date,side,level,gap_regime,gap_pct,entry,bar_idx,ep,bars_waited,conf_close,mfe15,mfe30,mfe60,hit_>=0.40%,hit_>=0.50%,hit_>=0.60%,hit_>=0.75%
2026-02-10,short,PMH,Flat,0.117,A,130,614.15,0,614.16,0.04477733452739189,0.08792640234469813,0.08792640234469813,False,False,False,False
2026-02-10,short,PMH,Flat,0.117,B,132,614.1,2,614.16,0.0366389838788508,0.07979156489171293,0.07979156489171293,False,False,False,False
2026-02-10,short,PMH,Flat,0.117,C,132,614.1,2,614.16,0.15795473049992304,0.15795473049992304,0.23286109754110892,False,False,False,False
2026-02-10,short,PDH,Flat,0.117,A,86,614.73,0,614.75,0.004880191303494659,0.07970979129048673,0.13908545214972723,False,False,False,False
2026-02-10,short,PDH,Flat,0.117,B,112,614.37,26,614.75,0.03255367286814875,0.08057034034865057,0.12370395689893564,False,False,False,False
2026-02-10,short,PDH,Flat,0.117,C,112,614.37,26,614.75,0.13672542604619883,0.13672542604619883,0.18881130263521465,False,False,False,False
2026-02-11,long,PDL,Gap Up,0.747,A,112,612.58,0,612.56,0.057135394560695586,0.057135394560695586,0.057135394560695586,False,False,False,False
2026-02-11,long,PDL,Gap Up,0.747,B,113,612.62,1,612.56,0.05060233097188232,0.05060233097188232,0.05060233097188232,False,False,False,False
2026-02-11,long,PDL,Gap Up,0.747,C,113,612.62,1,612.56,0.05060233097188232,0.05060233097188232,0.05060233097188232,False,False,False,False
2026-02-11,short,PMH,Gap Up,0.747,A,8,614.76,0,614.79,0.04391957837204467,0.4538356431778196,1.1500422929273109,True,True,True,True
2026-02-11,short,PMH,Gap Up,0.747,B,27,614.23,19,614.79,0.73588069615616,1.0647477329339112,1.0647477329339112,True,True,True,True
2026-02-11,short,PMH,Gap Up,0.747,C,27,614.23,19,614.79,0.053709522491567054,0.053709522491567054,0.053709522491567054,False,False,False,False
2026-02-11,short,PMH,Gap Up,0.747,A,22,615.38,0,615.36,0.4745035587766842,1.137508531313985,1.2496343722577823,True,True,True,True
2026-02-11,short,PMH,Gap Up,0.747,B,26,614.78,4,615.36,0.7157031783727476,1.1532580760597153,1.1532580760597153,True,True,True,True
2026-02-11,short,PMH,Gap Up,0.747,C,27,614.23,5,615.36,0.053709522491567054,0.053709522491567054,0.053709522491567054,False,False,False,False
2026-02-11,short,PDH,Gap Up,0.747,A,8,614.76,0,614.79,0.04391957837204467,0.4538356431778196,1.1500422929273109,True,True,True,True
2026-02-11,short,PDH,Gap Up,0.747,B,27,614.23,19,614.79,0.73588069615616,1.0647477329339112,1.0647477329339112,True,True,True,True
2026-02-11,short,PDH,Gap Up,0.747,C,27,614.23,19,614.79,0.053709522491567054,0.053709522491567054,0.053709522491567054,False,False,False,False
2026-02-11,short,PDH,Gap Up,0.747,A,22,615.38,0,615.36,0.4745035587766842,1.137508531313985,1.2496343722577823,True,True,True,True
2026-02-11,short,PDH,Gap Up,0.747,B,26,614.78,4,615.36,0.7157031783727476,1.1532580760597153,1.1532580760597153,True,True,True,True
2026-02-11,short,PDH,Gap Up,0.747,C,27,614.23,5,615.36,0.053709522491567054,0.053709522491567054,0.053709522491567054,False,False,False,False
2026-02-12,short,PMH,Flat,0.276,A,12,614.89,0,614.92,0.588723186260958,0.7188277578103334,1.052220722405638,True,True,True,True
2026-02-12,short,PMH,Flat,0.276,B,13,614.63,1,614.92,0.6133771537347643,0.676829962741807,1.0266339098319226,True,True,True,True
2026-02-12,short,PMH,Flat,0.276,C,14,613.82,2,614.92,0.057019973282054846,0.057019973282054846,0.057019973282054846,False,False,False,False
2026-02-13,long,PDL,Flat,0.017,A,39,601.83,0,601.83,0.12295831048635146,0.5101108286393061,0.5101108286393061,True,True,False,False
2026-02-13,long,PDL,Flat,0.017,B,40,602.04,1,601.83,0.08803401767325866,0.4750514915952451,0.4750514915952451,True,False,False,False
2026-02-13,long,PDL,Flat,0.017,C,40,602.04,1,601.83,0.08803401767325866,0.4750514915952451,0.4750514915952451,True,False,False,False
2026-02-13,long,PDL,Flat,0.017,A,81,601.85,0,601.88,0.30617263437732367,0.3372933455179816,0.432001329234863,True,False,False,False
2026-02-13,long,PDL,Flat,0.017,B,84,602.22,3,601.88,0.2756467736043254,0.2756467736043254,0.37693866029025636,False,False,False,False
2026-02-13,long,1H/4H_Sup,Flat,0.017,A,39,601.83,0,601.83,0.12295831048635146,0.5101108286393061,0.5101108286393061,True,True,False,False
2026-02-13,long,1H/4H_Sup,Flat,0.017,B,40,602.04,1,601.83,0.08803401767325866,0.4750514915952451,0.4750514915952451,True,False,False,False
2026-02-13,long,1H/4H_Sup,Flat,0.017,C,40,602.04,1,601.83,0.08803401767325866,0.4750514915952451,0.4750514915952451,True,False,False,False
2026-02-13,long,1H/4H_Sup,Flat,0.017,A,81,601.85,0,601.88,0.30617263437732367,0.3372933455179816,0.432001329234863,True,False,False,False
2026-02-13,long,1H/4H_Sup,Flat,0.017,B,84,602.22,3,601.88,0.2756467736043254,0.2756467736043254,0.37693866029025636,False,False,False,False
2026-02-13,long,1H/4H_Sup,Flat,0.017,A,137,604.36,0,604.35,0.10589714739558977,0.20352108015090645,0.34251108610760744,False,False,False,False
2026-02-13,long,1H/4H_Sup,Flat,0.017,B,146,604.81,9,604.35,0.028108000859786174,0.17030141697394,0.26785271407549555,False,False,False,False
2026-02-13,long,1H/4H_Sup,Flat,0.017,C,146,604.81,9,604.35,0.028108000859786174,0.17030141697394,0.26785271407549555,False,False,False,False
2026-02-13,long,1H/4H_Sup,Flat,0.017,A,39,601.83,0,601.83,0.12295831048635146,0.5101108286393061,0.5101108286393061,True,True,False,False
2026-02-13,long,1H/4H_Sup,Flat,0.017,B,40,602.04,1,601.83,0.08803401767325866,0.4750514915952451,0.4750514915952451,True,False,False,False
2026-02-13,long,1H/4H_Sup,Flat,0.017,C,40,602.04,1,601.83,0.08803401767325866,0.4750514915952451,0.4750514915952451,True,False,False,False
2026-02-13,long,1H/4H_Sup,Flat,0.017,A,81,601.85,0,601.88,0.30617263437732367,0.3372933455179816,0.432001329234863,True,False,False,False
2026-02-13,long,1H/4H_Sup,Flat,0.017,B,84,602.22,3,601.88,0.2756467736043254,0.2756467736043254,0.37693866029025636,False,False,False,False
2026-02-13,short,PMH,Flat,0.017,A,21,600.26,0,600.26,0.22490254223170336,0.22490254223170336,0.22490254223170336,False,False,False,False
2026-02-13,short,PMH,Flat,0.017,B,26,599.16,5,600.26,0.04172508178116029,0.04172508178116029,0.04172508178116029,False,False,False,False
2026-02-13,short,PMH,Flat,0.017,A,35,599.5,0,599.59,0.0050041701417802694,0.0050041701417802694,0.0050041701417802694,False,False,False,False
2026-02-13,short,PMH,Flat,0.017,A,52,600.21,0,600.19,0.016660835374289456,0.061645090884857714,0.061645090884857714,False,False,False,False
2026-02-18,long,1H/4H_Sup,Flat,0.118,A,24,603.968,0,603.96,0.6460607184486669,0.7454037299989513,0.8381404312811253,True,True,True,True
2026-02-18,long,1H/4H_Sup,Flat,0.118,B,25,604.4,1,603.96,0.5741230972865697,0.6733951025810804,0.7710125744539987,True,True,True,True
2026-02-18,long,1H/4H_Sup,Flat,0.118,C,25,604.4,1,603.96,0.5741230972865697,0.6733951025810804,0.7710125744539987,True,True,True,True
2026-02-19,long,PML,Flat,-0.449,A,23,604.04,0,604.07,0.26157208131912474,0.26157208131912474,0.26157208131912474,False,False,False,False
2026-02-19,long,PML,Flat,-0.449,B,25,604.57,2,604.07,0.1736771589724853,0.1736771589724853,0.1736771589724853,False,False,False,False
2026-02-19,long,PML,Flat,-0.449,C,25,604.57,2,604.07,0.1736771589724853,0.1736771589724853,0.1736771589724853,False,False,False,False
2026-02-19,long,PDL,Flat,-0.449,A,17,602.36,0,602.38,0.5412045952586478,0.5412045952586478,0.5412045952586478,True,True,False,False
2026-02-19,long,PDL,Flat,-0.449,B,22,603.72,5,602.38,0.314715430994497,0.314715430994497,0.314715430994497,False,False,False,False
2026-02-19,long,PDL,Flat,-0.449,C,23,604.04,6,602.38,0.26157208131912474,0.26157208131912474,0.26157208131912474,False,False,False,False
2026-02-19,short,PMH,Flat,-0.449,A,141,602.12,0,602.11,0.013286388095403064,0.013286388095403064,0.12455988839433998,False,False,False,False
2026-02-20,long,1H/4H_Sup,Gap Down,-0.545,A,30,605.27,0,605.22,0.6129495927437403,0.6129495927437403,0.7913823582863786,True,True,True,True
2026-02-20,long,1H/4H_Sup,Gap Down,-0.545,B,31,608.485,1,605.22,0.0813495813372564,0.0813495813372564,0.30156865000781224,False,False,False,False
2026-02-20,long,1H/4H_Sup,Gap Down,-0.545,C,31,608.485,1,605.22,0.0813495813372564,0.0813495813372564,0.30156865000781224,False,False,False,False
2026-02-20,long,1H/4H_Sup,Gap Down,-0.545,A,48,606.89,0,606.91,0.1664222511493007,0.4102885201601623,0.5701197910659322,True,True,False,False
2026-02-20,long,1H/4H_Sup,Gap Down,-0.545,B,51,607.38,3,606.91,0.08561361915110505,0.3622114656393107,0.48898547861306385,True,False,False,False
2026-02-20,long,1H/4H_Sup,Gap Down,-0.545,C,73,608.13,25,606.91,0.31407758209592823,0.36505352473978053,0.36505352473978053,False,False,False,False
2026-02-20,long,1H/4H_Sup,Gap Down,-0.545,A,32,606.98,0,606.98,0.13344756005139305,0.15157006820652394,0.5502652476193667,True,True,False,False
