direction,window,tp1,runner,stop,n,wr,pf,ev,total,max_dd,worst_streak
LONG,9:30-11:00,0.50%,1.00%,0.40%,31,0.6129032258064516,1.6024818301152934,0.0009608983264955606,0.029787848121362377,-0.00935530739789534,2
LONG,9:30-12:00,0.60%,1.50%,0.40%,38,0.5526315789473685,1.5973773397520252,0.0010918006822283304,0.04148842592467656,-0.01145530739789534,3
LONG,9:30-10:00,0.40%,1.50%,0.40%,21,0.6190476190476191,1.593827214862773,0.0009521706001538643,0.01999558260323115,-0.009091291053708338,3
LONG,9:30-10:30,0.60%,2.00%,0.50%,26,0.5384615384615384,1.5731647802632607,0.0013068474987906168,0.03397803496855604,-0.01472397784968251,3
LONG,9:30-10:00,0.60%,1.00%,0.50%,21,0.5714285714285714,1.5672531453379737,0.0011637182746729318,0.024438083768131565,-0.013209050770125356,3
LONG,9:30-10:30,0.40%,2.00%,0.30%,26,0.5384615384615384,1.5514288472472524,0.0008653191141418426,0.022498296967687906,-0.010251586112210678,3
LONG,9:30-10:30,0.50%,1.50%,0.40%,26,0.5769230769230769,1.5445829471042238,0.0009817655857775414,0.025525905230216077,-0.012223977849682509,3
LONG,9:30-10:30,0.50%,1.50%,0.30%,26,0.5384615384615384,1.5391739452864681,0.0008460883449110733,0.021998296967687906,-0.009751586112210678,3
LONG,9:30-11:00,0.50%,1.50%,0.50%,31,0.6129032258064516,1.5271751858026814,0.0010108482640753742,0.0313362961863366,-0.015292297974936243,2
LONG,9:30-10:30,0.60%,1.00%,0.30%,26,0.5,1.519354110599992,0.0008631076204841661,0.02244079813258832,-0.009251586112210677,3
LONG,9:30-12:00,0.40%,2.00%,0.30%,38,0.5526315789473685,1.5134636513748916,0.0007810052381439134,0.02967819904946871,-0.013600000000000001,4
LONG,9:30-12:00,0.50%,1.50%,0.30%,38,0.5526315789473685,1.5134636513748914,0.0007810052381439134,0.02967819904946871,-0.013600000000000001,4
LONG,9:30-12:00,0.60%,1.00%,0.30%,38,0.5263157894736842,1.5085730437983018,0.0008058079003781351,0.030620700214369134,-0.013600000000000001,4
LONG,9:30-10:00,0.40%,2.00%,0.50%,21,0.6190476190476191,1.5039187942406735,0.0009759801239633882,0.02049558260323115,-0.013091291053708336,3
LONG,9:30-11:00,0.40%,1.50%,0.40%,31,0.6129032258064516,1.502332935184349,0.0008011708447205358,0.02483629618633661,-0.012292297974936243,2
LONG,9:30-10:00,0.40%,1.00%,0.30%,21,0.5714285714285714,1.4875662181610705,0.00071045363217756,0.01491952627572876,-0.006851586112210678,3
LONG,9:30-10:30,0.60%,1.00%,0.40%,26,0.5384615384615384,1.4863576465202202,0.0009218617844275574,0.023968406395116493,-0.011723977849682508,3
LONG,9:30-12:00,0.60%,2.00%,0.50%,38,0.5526315789473685,1.4791847688213848,0.0010523269980178046,0.03998842592467657,-0.01745530739789534,3
LONG,9:30-11:00,0.60%,1.00%,0.50%,31,0.5806451612903226,1.465292702225412,0.0009283483016528073,0.028778797351237027,-0.013209050770125356,3
LONG,9:30-10:30,0.50%,2.00%,0.50%,26,0.5769230769230769,1.448827707968499,0.0009817655857775416,0.025525905230216084,-0.017160968426723405,3
LONG,9:30-12:00,0.50%,1.50%,0.40%,38,0.5789473684210527,1.4480227276313524,0.0007904288470088579,0.030036296186336603,-0.013955307397895342,2
LONG,9:30-10:00,0.50%,1.00%,0.50%,21,0.6190476190476191,1.4412608595555512,0.0008546254542027107,0.017947134538256925,-0.011091291053708338,3
LONG,9:30-11:00,0.40%,1.00%,0.30%,31,0.5806451612903226,1.439587126346029,0.0006267661607901448,0.01942975098449449,-0.0102,3
