sym,date,gap_pct,gap_bucket,rvol,ret_2h
HOOD,2022-09-09,3.219,gap_2plus,1.71,0.141
HOOD,2022-09-12,1.604,gap_1_2,1.58,0.7353
HOOD,2022-09-22,7.576,gap_2plus,2.73,-10.2388
HOOD,2022-11-03,3.856,gap_2plus,2.97,3.4774
HOOD,2023-02-02,3.058,gap_2plus,2.17,0.3543
HOOD,2023-02-09,5.731,gap_2plus,2.1,-5.483
HOOD,2023-03-30,1.317,gap_1_2,1.86,1.2184
HOOD,2023-05-10,2.139,gap_2plus,1.62,-4.632
HOOD,2023-05-11,5.513,gap_2plus,3.99,-4.4938
HOOD,2023-11-02,1.1,gap_1_2,1.63,0.2133
HOOD,2023-11-03,1.899,gap_1_2,1.78,-0.3093
HOOD,2023-11-10,1.009,gap_1_2,1.51,-0.6703
HOOD,2023-12-05,2.406,gap_2plus,3.42,5.0769
HOOD,2023-12-06,3.422,gap_2plus,4.07,3.4914
HOOD,2023-12-19,1.005,gap_1_2,1.81,5.0315
HOOD,2024-02-26,1.518,gap_1_2,1.79,0.4647
HOOD,2024-05-09,6.667,gap_2plus,5.44,-7.8406
HOOD,2024-05-13,2.649,gap_2plus,1.95,0.1753
HOOD,2024-05-14,5.086,gap_2plus,2.5,1.4892
HOOD,2024-05-17,6.011,gap_2plus,3.54,4.9505
HOOD,2024-05-30,1.02,gap_1_2,1.67,3.8198
HOOD,2024-06-06,3.105,gap_2plus,1.62,1.5248
HOOD,2024-07-15,3.3,gap_2plus,1.72,1.8244
HOOD,2024-08-07,2.354,gap_2plus,1.76,-0.6834
HOOD,2024-08-08,3.153,gap_2plus,3.08,-1.2394
HOOD,2024-11-18,2.444,gap_2plus,1.78,4.293
HOOD,2024-11-20,4.994,gap_2plus,1.55,-3.3738
HOOD,2024-12-05,6.5,gap_2plus,1.95,-3.0823
IBM,2022-04-14,2.183,gap_2plus,2.09,-1.5879
IBM,2022-04-20,4.491,gap_2plus,5.37,3.0965
IBM,2023-10-26,3.668,gap_2plus,3.13,0.9688
IBM,2024-01-25,6.313,gap_2plus,9.52,3.7123
IBM,2024-06-24,1.514,gap_1_2,1.61,1.092
