symbol,date,score,tp,sl,pnl,exit_type,entry_price,mfe,mae
NVDA,2026-02-10,6,0.005,0.0025,0.0007911392405062999,avg,189.6,0.002795358649789,0.0012130801687764
NVDA,2026-02-10,6,0.005,0.0025,0.00097992478415165,avg,188.79,0.0021717251973091,0.0002118756290058
NVDA,2026-02-11,6,0.005,0.0025,0.00117413766111775,avg,191.63,0.002922298178782,0.0005740228565465
NVDA,2026-02-12,6,0.005,0.0025,0.005,tp,191.6003,0.0069952917610254,0.0026080334947282
NVDA,2026-02-12,6,0.005,0.0025,0.005,tp,191.9095,0.0072403919555832,0.0028164317034851
NVDA,2026-02-12,6,0.005,0.0025,0.005,tp,191.82,0.0067771869460952,0.0030236680221041
NVDA,2026-02-12,6,0.005,0.0025,-0.0025,sl,189.095,0.0029350326555435,0.003410983896983
NVDA,2026-02-12,6,0.005,0.0025,0.00052898857384675,avg,189.04,0.0033855268726194,0.0023275497249259
NVDA,2026-02-13,6,0.005,0.0025,-0.0025,sl,186.45,0.0035934566908017,0.0070260123357468
NVDA,2026-02-13,6,0.005,0.0025,-0.0025,sl,186.45,0.0035934566908017,0.0070260123357468
NVDA,2026-02-13,6,0.005,0.0025,0.005,tp,186.12,0.0211691381904147,0.0031699978508489
NVDA,2026-02-17,6,0.005,0.0025,0.005,tp,181.5,0.0067217630853994,0.0052341597796142
NVDA,2026-02-17,6,0.005,0.0025,-0.0025,sl,183.685,0.0003538666739254,0.0059068514032175
NVDA,2026-02-18,7,0.005,0.0025,-0.0025,sl,187.69,0.0018114976823485,0.007885342852576
NVDA,2026-02-19,7,0.005,0.0025,-0.0025,sl,186.325,0.0035690326043203,0.0070038910505836
NVDA,2026-02-19,6,0.005,0.0025,-0.0025,sl,186.325,0.0035690326043203,0.0070038910505836
NVDA,2026-02-20,6,0.005,0.0025,0.0009368308351178499,avg,186.8,0.0024089935760172,0.0005353319057815
NVDA,2026-02-23,6,0.005,0.0025,0.005,tp,189.51,0.0080206849242783,0.0071764023006702
NVDA,2026-02-23,6,0.005,0.0025,0.0006908354398580999,avg,191.073,0.0023446536140637,0.0009629827343475
NVDA,2026-02-24,6,0.005,0.0025,0.005,tp,189.7587,0.0124299966220257,0.0039855880125653
NVDA,2026-02-25,6,0.005,0.0025,-0.0025,sl,194.08,0.0014942291838418,0.0117889530090683
NVDA,2026-02-26,6,0.005,0.0025,0.005,tp,198.42,0.0096764439068641,0.0
NVDA,2026-02-26,6,0.005,0.0025,0.005,tp,196.91,0.0332639276826975,0.0008125539586613
NVDA,2026-02-26,6,0.005,0.0025,-0.0025,sl,184.85,0.0001081958344602,0.0100081146875844
NVDA,2026-02-27,6,0.005,0.0025,-0.0025,sl,181.29,0.0012686855314688,0.0035854156324121
NVDA,2026-02-27,6,0.005,0.0025,0.005,tp,178.6101,0.0124858560630109,8.342193414600552e-05
NVDA,2026-03-02,7,0.005,0.0025,-0.00043892135078055,avg,182.265,0.0009052752859846,0.0017831179875457
NVDA,2026-03-02,6,0.005,0.0025,0.005,tp,182.56,0.0050120508326029,0.00158851884312
NVDA,2026-03-02,6,0.005,0.0025,0.00037054318886714987,avg,182.165,0.0028545549364586,0.0021134685587243
NVDA,2026-03-02,6,0.005,0.0025,-0.0025,sl,181.78,0.0020904389921883,0.0038508086698206
NVDA,2026-03-03,6,0.005,0.0025,-0.0025,sl,176.45,0.0003400396712949,0.0050439217908756
NVDA,2026-03-03,6,0.005,0.0025,-0.0025,sl,179.3101,0.0018409448212901,0.0049071413155198
NVDA,2026-03-03,6,0.005,0.0025,0.00134651156334155,avg,180.095,0.0038868375024292,0.0011938143757461
NVDA,2026-03-03,6,0.005,0.0025,-8.336807002910004e-05,avg,179.925,0.0020286230373767,0.0021953591774349
NVDA,2026-03-04,6,0.005,0.0025,0.005,tp,181.52,0.0080431908329661,0.007933010136624
NVDA,2026-03-04,6,0.005,0.0025,0.00119574965350445,avg,183.985,0.0027991412343398,0.0004076419273309
NVDA,2026-03-05,6,0.005,0.0025,0.005,tp,182.76,0.0180564674983584,0.0015867804771285
NVDA,2026-03-06,6,0.005,0.0025,0.005,tp,180.77,0.0067489074514576,0.0022902030204126
NVDA,2026-03-09,6,0.005,0.0025,0.005,tp,175.34,0.0079844872818524,0.0078133911258127
NVDA,2026-03-09,6,0.005,0.0025,-0.0025,sl,175.83,0.0015355741341068,0.0123983393050103
NVDA,2026-03-09,6,0.005,0.0025,-0.0025,sl,175.83,0.0015355741341068,0.0123983393050103
NVDA,2026-03-10,7,0.005,0.0025,0.005,tp,182.5997,0.0078844598320808,0.0060273921589136
NVDA,2026-03-10,6,0.005,0.0025,0.0002022871938721,avg,185.38,0.0018070989319236,0.0014025245441794
NVDA,2026-03-10,6,0.005,0.0025,0.00041769968739895004,avg,185.54,0.0023445079228198,0.0015091085480219
NVDA,2026-03-13,6,0.005,0.0025,-0.0025,sl,181.14,0.0011869272385998,0.0029253615987635
NVDA,2026-03-13,6,0.005,0.0025,-0.0001801152737752001,avg,180.44,0.0017734426956328,0.0021336732431832
NVDA,2026-03-16,6,0.005,0.0025,0.00013700882336819994,avg,182.47,0.0010960705869457,0.0008220529402093
NVDA,2026-03-17,7,0.005,0.0025,0.00108879089770815,avg,183.69,0.002558658609614,0.0003810768141977
