date,mfe_15m_long,mfe_30m_long,mfe_60m_long,mfe_15m_short,mfe_30m_short,mfe_60m_short,mfe_60m_best,pm_high_broken,pm_low_broken,pm_high,pm_low,pm_range,pm_vol,pm_open,prev_close,rth_open,gap_pct,pm_vol_ma20,pm_vol_ratio
2026-04-16,0.03423387441873864,0.03423387441873864,0.03423387441873864,0.13550908624082558,0.36088209283085226,0.36088209283085226,0.36088209283085226,True,True,701.13,700.67,0.06565144789987247,990.0,700.72,699.56,701.06,0.21442049288123965,4437.1,0.2231187036577945
2026-04-17,0.20675493875239487,0.3419953267719433,0.4687389364865906,0.0254903349146711,0.0552290589818008,0.0552290589818008,0.4687389364865906,True,False,708.59,704.44,0.5891204360910762,4704.0,704.57,701.59,706.15,0.6499522513148627,4568.5,1.0296596256977126
2026-04-20,0.09170558275371986,0.15801577336023429,0.15801577336023429,0.07900788668010912,0.07900788668010912,0.07900788668010912,0.15801577336023429,True,False,708.16,706.86,0.18391194861782453,1501.0,706.86,,708.79,,4535.05,0.33097760774412627
2026-04-21,0.023934223123285574,0.08869741510390206,0.1400856000450533,0.21540800810947414,0.21540800810947414,0.21540800810947414,0.21540800810947414,False,True,711.51,710.19,0.18586575423477325,2040.0,711.46,708.61,710.28,0.23567265491595646,4406.4,0.462962962962963
2026-04-22,0.021151188696817584,0.08037451704786515,0.2143320454609684,0.13536760765953956,0.13536760765953956,0.13536760765953956,0.2143320454609684,True,False,709.62,708.14,0.2089982206908264,2005.0,708.67,703.62,709.18,0.7901992552798307,4351.95,0.4607130137064994
2026-04-23,0.15768851303734527,0.25158562367864246,0.25158562367864246,0.03946441155743097,0.03946441155743097,0.05214940098661093,0.25158562367864246,True,True,711.11,709.32,0.2523543675632949,1330.0,710.27,710.96,709.5,-0.20535613817936824,3874.05,0.3433099727675172
2026-04-24,0.05768554344002366,0.05768554344002366,0.05768554344002366,0.16883573689764972,0.24481181850158412,0.24481181850158412,0.24481181850158412,False,True,711.98,710.64,0.1885624226049803,1830.0,711.47,707.99,710.75,0.38983601463297374,3732.35,0.4903077149784988
2026-04-27,0.17377343410408055,0.17377343410408055,0.17377343410408055,0.04206570663375556,0.07992484260413875,0.07992484260413875,0.17377343410408055,True,True,714.03,713.34,0.09672806796197336,884.0,713.99,,713.17,,3274.65,0.26995251400913073
2026-04-28,0.14891405130509755,0.14891405130509755,0.14891405130509755,0.14610435222388768,0.14610435222388768,0.14610435222388768,0.14891405130509755,True,False,711.54,709.68,0.26208995603652546,3848.0,710.6,714.95,711.82,-0.43779285264703754,3232.65,1.1903546625833294
2026-04-29,0.026722925457110348,0.026722925457110348,0.09142053445850594,0.17440225035161872,0.18846694796062333,0.18846694796062333,0.18846694796062333,False,True,711.92,711.12,0.11249859376757151,885.0,711.87,711.47,711.0,-0.06606041013676293,2580.2,0.3429966669250446
