date,side,ep,mfe_15m,mae_15m,mfe_30m,mae_30m,mfe_60m,mae_60m,hit_+0.25%,hit_+0.50%,hit_+0.75%,hit_+1.00%
2026-03-10,short,679.17,0.027857531987560455,0.2164406555059893,0.027857531987560455,0.37030493101874146,0.027857531987560455,0.37030493101874146,False,False,False,False
2026-03-11,short,679.74,0.41192220554917386,0.050019124959548036,0.6686380086503603,0.050019124959548036,0.6686380086503603,0.050019124959548036,True,True,False,False
2026-03-11,long,675.35,0.29910416820907404,0.022951062412078584,0.4486562523136111,0.022951062412078584,0.48715480861774835,0.06959354408825458,True,False,False,False
2026-03-11,long,674.68,0.09041323294006251,0.09337760123317655,0.09041323294006251,0.15414715124206493,0.09041323294006251,0.17341554514732305,False,False,False,False
2026-03-11,long,674.32,0.1438486178668753,0.04745521414166123,0.1438486178668753,0.10084233005102378,0.17647407758926634,0.12012101079606997,False,False,False,False
2026-03-12,long,667.95,0.3894004042218727,0.09731267310428789,0.3894004042218727,0.09731267310428789,0.3894004042218727,0.1542031589190937,True,False,False,False
2026-03-12,long,667.71,0.42548411735633856,0.061403902891986314,0.42548411735633856,0.061403902891986314,0.42548411735633856,0.1183148372796689,True,False,False,False
2026-03-12,long,667.298,0.21759393854020215,0.0566463559009682,0.4513725501949569,0.0566463559009682,0.4513725501949569,0.0566463559009682,True,False,False,False
2026-03-13,long,667.94,0.34284516573344365,0.031439949696085934,0.34284516573344365,0.24702817618350312,0.34284516573344365,0.5105248974458906,True,False,False,False
2026-03-13,long,667.8,0.36388140161726024,0.010482180293491515,0.36388140161726024,0.2261156034740927,0.36388140161726024,0.4896675651392605,True,False,False,False
2026-03-13,long,667.71,0.0419343727067099,0.4073624777223685,0.0419343727067099,0.47625466145483275,0.0419343727067099,0.5945694987344846,False,False,False,False
2026-03-17,long,670.42,0.18346708033770148,0.01789922735002007,0.18346708033770148,0.10739536410010347,0.18346708033770148,0.10739536410010347,False,False,False,False
2026-03-18,long,665.99,0.14264478445622988,0.04054114926650277,0.14264478445622988,0.049550293547957314,0.3018063334284285,0.049550293547957314,True,False,False,False
2026-03-18,long,665.94,0.15016367840946632,0.033036009250086686,0.15016367840946632,0.04204582995466354,0.30933717752349243,0.04204582995466354,True,False,False,False
2026-03-18,long,665.84,0.16520485401898696,0.016520485401900403,0.19749489366813963,0.02703352156675232,0.32440225880090834,0.02703352156675232,True,False,False,False
2026-03-19,short,658.6,0.1153962951715747,0.08654722137867238,0.23200728818706648,0.1320983905253575,0.3887033100516336,0.1320983905253575,True,False,False,False
2026-03-19,short,658.59,0.11387965198378354,0.08806693086744821,0.25357202508390236,0.133618791660972,0.3871908167448744,0.133618791660972,True,False,False,False
2026-03-19,short,659.16,0.24273317555677268,0.04702955276413301,0.47332969233570066,0.04702955276413301,0.47332969233570066,0.04702955276413301,True,False,False,False
2026-03-20,long,652.66,0.17637054515368525,0.18079857812642877,0.17637054515368525,0.18079857812642877,0.17637054515368525,0.2236999356479519,False,False,False,False
2026-03-20,long,652.35,0.031624128152056716,0.13336399172223568,0.17628573618456003,0.13336399172223568,0.17628573618456003,0.17628573618456003,False,False,False,False
2026-03-20,long,652.04,0.07821606036439342,0.08588430157658203,0.22391264339611627,0.08588430157658203,0.22391264339611627,0.12882645236487303,False,False,False,False
2026-03-23,short,660.69,0.3193630901027734,0.06962418078068726,0.3193630901027734,0.23914392529021583,0.3193630901027734,0.2913620608757442,True,False,False,False
2026-03-23,short,660.96,0.09229000242072344,0.19819656257563928,0.15280803679496352,0.19819656257563928,0.15280803679496352,0.2503933672234285,False,False,False,False
2026-03-23,short,661.17,0.12402256605713151,0.16637173495470498,0.18452137876792862,0.16637173495470498,0.18452137876792862,0.21855196091777454,False,False,False,False
2026-03-23,long,657.31,0.018256226133788404,0.2251601223167006,0.04868326969010817,0.3712099313870078,0.04868326969010817,0.512695683923855,False,False,False,False
2026-03-23,long,657.21,0.033474840614098014,0.209978545670333,0.06390651389966054,0.35605057744100543,0.06390651389966054,0.49755785821883136,False,False,False,False
2026-03-23,long,656.635,0.15153014993108874,0.1225947444166013,0.15153014993108874,0.2687946880687119,0.15153014993108874,0.4104258834816811,False,False,False,False
2026-03-24,short,655.27,0.6180658354571329,0.05341309689136123,0.6180658354571329,0.17855235246540704,0.6180658354571329,0.2685915729393976,True,True,False,False
2026-03-24,short,655.52,0.06254576519403957,0.19984134732732167,0.06254576519403957,0.19984134732732167,0.18611178911399,0.2303514766902598,False,False,False,False
2026-03-24,short,655.845,0.11206916268325802,0.15018792550069204,0.11206916268325802,0.15018792550069204,0.23557395421175317,0.18068293575462882,False,False,False,False
