direction,max_fav,final_pnl,level_hit
long,0.6686096348362692,-0.24287102120121798,0.2
long,0.20477815699657861,-0.63708759954494,0.2
long,1.1461481439242691,0.9864857159149168,0.2
short,0.27373823781008827,-2.723125178215002,0.2
long,0.9919750334373614,-0.15882746321890134,0.2
long,0.36830882556561273,-0.8916950513693964,0.2
long,0.0,-1.1822877821054592,
short,2.4983876847152424,2.4423071530718055,0.2
short,3.058823529411769,2.27450980392157,0.2
long,0.1805830251956303,-1.1723564651589509,0.15
long,0.729148141561438,-0.13930879127392568,0.2
short,0.6870593858286568,-0.32859361930936276,0.2
short,0.3004005340453966,-3.116276247117363,0.2
long,4.0529463553842024,3.348614104860509,0.2
long,3.923590054578532,3.0382049727107283,0.2
long,0.7288544054546576,0.5407629459824934,0.2
long,1.9168205398751488,1.4654591283449103,0.2
long,1.8421977507029113,1.4819587628865987,0.2
long,1.0619777158774446,0.7718198700092924,0.2
long,0.6121859659254993,0.4504764654923483,0.2
long,1.8953796520336397,1.3307984790874372,0.2
short,0.10815734046792153,-0.8510274947344478,0.1
short,3.1230445417827983,-0.5005973036008848,0.2
long,2.6689463312855097,1.8836211892894403,0.2
long,2.2010038654589494,1.494259504990466,0.2
long,1.7636076403849041,1.186270285796351,0.2
long,1.7431508816265557,1.2003905576933978,0.2
long,1.2343915192730786,0.8486441695002342,0.2
short,0.16150969058143294,-0.18134421398616862,0.15
long,0.3503220702904309,-0.13278336535200883,0.2
long,0.0,-0.809647831502665,
short,1.3154156486163975,0.4659355645207236,0.2
long,0.7410253595345232,0.4336370622461258,0.2
long,0.6036217303822865,-0.39182463200254636,0.2
long,1.514746025798846,0.7332869453513761,0.2
long,0.8079090039332467,0.04252152652280882,0.2
long,0.6047103755569628,-0.04774029280713102,0.2
long,2.5165071199384816,1.988809631142107,0.2
long,0.24659944083184906,-0.21518549932460096,0.2
short,0.5716529250098132,-0.021986650961913837,0.2
short,0.640311367096163,-0.4127497292801198,0.2
long,2.1704497058220404,1.859709449973968,0.2
short,0.4483691522023354,0.12539137307353945,0.2
long,0.386340778109478,-1.3282459809383829,0.2
short,1.1906104496608774,0.8522773042903988,0.2
short,0.9744322539498143,0.7806760476963253,0.2
short,0.8354152411565331,0.4773801378037332,0.2
short,0.2775385204325787,-0.12919896640826004,0.2
short,1.041691784620581,0.03134720648164581,0.2
long,0.24154589371980675,-0.09983896940418753,0.2
long,0.6825386556252875,-0.2151128938344969,0.2
long,0.5053522127322917,-0.2970760611589247,0.2
long,0.23186165587866786,-0.5764338389205436,0.2
short,1.6633162570520703,1.5336229816484073,0.2
short,1.7461089494163398,1.7461089494163398,0.2
long,0.31600491199344244,-0.6451084731887113,0.2
short,0.30232883821700723,0.0477794894185034,0.2
long,2.9998136761691883,2.972712028050198,0.2
long,2.470778455216081,2.371408360561869,0.2
short,0.1992792732949054,-0.039855854658984856,0.15
short,2.1596523405872614,1.520183743948189,0.2
short,0.5316781037654172,-0.21418312236995343,0.2
short,0.3819041370144151,-0.31965544507814353,0.2
long,0.0,-0.46546421743827693,
short,0.0336128804557983,-0.8941026201240398,0.03
long,0.0,-2.5277287678762987,
short,0.6871802702909107,-1.570970451248381,0.2
long,1.449684115523451,1.0773916967509058,0.2
long,1.3011152416356784,0.7885546919004253,0.2
short,0.06385096433736442,-0.9173881199646924,0.06
short,0.6973994171267898,-3.5084125550517293,0.2
long,0.9337387330658549,0.7898098339420302,0.2
short,0.406261849303938,-3.2880125670331912,0.2
long,1.3803464121597842,0.7688229056203646,0.2
long,2.1588388381394887,1.7850592982027191,0.2
long,0.5321157609255225,0.4926362044697732,0.2
long,1.587479520565651,1.5693713891523706,0.2
short,0.0,-0.37950989988493167,
short,4.3251693590411575,2.879744402395357,0.2
short,3.2799626923674814,0.9568716859250181,0.2
short,1.4895955067938749,1.2209799236015422,0.2
long,6.722409199270793,3.919506380591785,0.2
long,6.4369504029649915,3.737696893410954,0.2
long,5.7620817843866305,2.861063822395169,0.2
short,2.813556079831679,2.6637122999426186,0.2
short,2.507395858319351,2.2083633165427456,0.2
short,0.3790527654164003,0.3472663699936521,0.2
short,1.1514614703277193,0.5994559028217076,0.2
long,0.08280386630360066,-0.5557413334607253,0.08
long,4.849851744369441,4.799381742476825,0.2
short,0.0,-0.1014659559001634,
