date,side,level,gap_regime,gap_pct,touch_lbl,ep,mfe15,mfe30,mfe60,hit_>=0.50%,hit_>=0.75%
2026-04-21,long,1H_Sup,Flat,0.264,1st,648.33,0.006169697530572952,0.006169697530572952,0.006169697530572952,False,False
2026-04-21,short,PDH,Flat,0.264,1st,647.06,0.22872685686024552,0.22872685686024552,0.22872685686024552,False,False
2026-04-22,long,PML,Gap Up,0.985,1st,650.67,0.27662255828608867,0.3442605314521968,0.38575622051116404,False,False
2026-04-22,long,1H_Sup,Gap Up,0.985,1st,649.33,0.22022700321869462,0.4835599772072769,0.5929188548195692,True,False
2026-04-22,long,4H_Sup,Gap Up,0.985,1st,649.33,0.22022700321869462,0.4835599772072769,0.5929188548195692,True,False
2026-04-29,long,1H_Sup,Flat,0.199,1st,660.52,0.10749106764368019,0.10749106764368019,0.10749106764368019,False,False
2026-04-30,long,1H_Sup,Gap Up,0.512,1st,663.06,0.08747323017525427,0.170421982927655,0.170421982927655,False,False
2026-04-30,long,4H_Sup,Gap Up,0.512,1st,663.38,0.03919322258735429,0.12210196267600154,0.12210196267600154,False,False
2026-04-30,short,PDH,Gap Up,0.512,1st,660.31,0.2589692720085903,0.416471051475822,0.416471051475822,False,False
2026-05-06,long,PML,Gap Up,0.919,1st,690.29,0.03331932955714528,0.03331932955714528,0.17963464630807474,False,False
2026-05-06,short,PMH,Gap Up,0.919,1st,688.38,0.11040413724977352,0.11040413724977352,0.11040413724977352,False,False
2026-05-12,long,PML,Gap Down,-0.695,1st,707.93,0.3178280338451542,0.3178280338451542,0.3178280338451542,False,False
2026-05-12,short,PMH,Gap Down,-0.695,1st,706.63,0.20760511158597633,0.20760511158597633,0.49672388661675715,False,False
2026-05-12,short,PMH,Gap Down,-0.695,2nd,706.67,0.5023561209616871,0.5023561209616871,1.0047122419233743,True,True
2026-05-13,short,PDH,Flat,0.466,1st,708.16,0.4702327157704371,0.4702327157704371,0.4702327157704371,False,False
2026-05-14,long,1H_Sup,Flat,0.028,1st,717.76,0.20759028087383094,0.3120820329915305,0.48275189478377617,False,False
2026-05-14,long,4H_Sup,Flat,0.028,1st,718.5,0.10438413361169101,0.3061795407098061,0.44537230340988804,False,False
2026-05-15,long,PML,Gap Down,-1.342,1st,711.91,0.028093438777379933,0.028093438777379933,0.0941130199042116,False,False
2026-05-15,long,PML,Gap Down,-1.342,2nd,711.84,0.10395594515621616,0.10395594515621616,0.10395594515621616,False,False
2026-05-15,short,PMH,Gap Down,-1.342,1st,707.62,0.29252988892344056,0.29252988892344056,0.29252988892344056,False,False
2026-05-19,short,1H_Res,Gap Down,-0.814,2nd,701.96,0.6097213516439806,0.9558949227876284,0.9558949227876284,True,True
2026-05-20,long,PML,Gap Up,0.568,1st,708.27,0.228726333178026,0.228726333178026,0.6861789995340779,True,False
2026-05-20,long,4H_Sup,Gap Up,0.568,1st,708.27,0.228726333178026,0.228726333178026,0.6861789995340779,True,False
2026-05-20,short,PDH,Gap Up,0.568,1st,704.67,0.12488115004186294,0.12488115004186294,0.12488115004186294,False,False
2026-05-21,long,PML,Gap Down,-0.507,1st,711.09,0.11250333994289816,0.11250333994289816,0.11250333994289816,False,False
2026-05-21,short,PMH,Gap Down,-0.507,1st,707.85,0.01695274422547214,0.14127286854559581,0.14127286854559581,False,False
2026-05-22,long,PML,Flat,0.457,1st,719.12,0.0959506062965765,0.23640004449883822,0.3003671153632173,False,False
2026-05-22,long,4H_Sup,Flat,0.457,1st,717.29,0.28998034267869915,0.3594083285700468,0.5172245535278669,True,False
2026-05-28,long,PML,Flat,0.051,1st,728.57,0.5874521322590791,0.5874521322590791,0.7754917166504217,True,True
2026-05-28,long,1H_Sup,Flat,0.051,1st,732.26,0.01911889219675885,0.05653729549613351,0.267664490754655,False,False
