date,attn_growth,price_growth,attn_4wk,fwd_1wk,fwd_2wk,fwd_1mo,fwd_3mo,sym
2024-03-04,149.4,134.6,52.0,-14.75,-2.3,-26.89,-52.46,CPOP
2025-08-18,58.1,57.5,35.8,3.17,-2.38,25.4,-63.41,CPOP
2025-07-14,59.5,47.2,64.0,-0.57,-13.88,-8.29,6.17,CRSP
2025-07-21,69.6,36.4,75.8,-13.39,-15.07,-16.12,4.4,CRSP
2025-07-28,65.8,7.5,80.2,-1.94,6.49,-7.59,14.08,CRSP
2025-05-19,63.4,147.3,28.0,8.34,36.42,78.68,-8.52,CRWV
2025-05-26,234.8,115.8,37.5,25.92,32.23,43.73,-7.43,CRWV
2025-06-02,420.9,172.8,55.0,5.02,30.98,17.87,-36.44,CRWV
2025-06-09,247.1,83.3,59.8,24.72,8.7,-14.51,-23.94,CRWV
2025-06-16,97.4,78.7,56.2,-12.85,-10.01,-32.99,-31.99,CRWV
2024-08-19,72.3,6.0,27.0,-0.39,-4.41,2.42,16.27,CSCO
2024-08-26,65.2,8.3,27.5,-4.04,-1.46,4.91,18.05,CSCO
2025-02-10,70.2,7.7,23.2,-1.37,-1.17,-6.74,-1.27,CSCO
2025-06-02,50.0,10.5,20.0,-2.98,0.39,5.01,1.88,CSCO
2025-11-10,65.8,11.2,29.2,-2.44,-1.36,-0.26,-0.95,CSCO
2025-11-17,77.0,7.7,31.8,1.1,2.46,3.05,4.63,CSCO
2025-11-24,57.5,5.2,30.5,1.34,1.12,1.59,3.83,CSCO
2025-12-01,50.0,9.7,29.8,-0.22,0.58,-2.48,1.4,CSCO
2026-02-02,58.9,14.8,28.0,-9.4,-6.63,-7.29,14.47,CSCO
2026-02-16,110.7,6.2,38.5,0.33,-0.71,-1.96,52.86,CSCO
2024-12-30,51.6,456.7,60.0,-37.72,-33.53,-58.62,-43.95,CTM
2025-01-06,57.6,293.9,64.0,6.73,-12.98,0.0,-8.85,CTM
2025-01-13,59.9,85.0,67.8,-18.47,-37.75,-5.41,-16.22,CTM
2025-08-04,53.8,12.3,84.0,-10.16,-19.53,-15.62,-6.25,CTM
2025-02-03,60.5,14.4,60.0,5.22,-1.54,-3.11,-7.84,CTSH
2025-02-10,98.6,16.6,69.5,-6.43,-7.81,-12.47,-9.9,CTSH
2025-02-17,94.3,6.0,75.2,-1.48,-1.6,-9.65,-6.46,CTSH
2024-02-26,114.7,90.9,53.8,2.82,-4.07,5.97,20.52,CVNA
2024-03-04,118.7,60.5,57.5,-6.71,0.75,-1.71,24.92,CVNA
2024-03-11,110.3,51.6,60.0,7.99,10.47,-5.77,29.5,CVNA
2024-05-06,68.9,56.0,50.5,0.43,-6.71,-8.92,16.17,CVNA
2024-05-13,89.5,64.7,53.0,-7.11,-14.91,-12.29,32.71,CVNA
2024-05-20,106.7,29.5,53.2,-8.4,-2.37,3.52,46.39,CVNA
2024-10-28,64.5,27.1,48.8,6.67,5.2,13.68,8.03,CVNA
2024-11-04,51.1,27.1,50.8,-1.37,6.14,2.81,8.07,CVNA
2024-11-11,119.0,26.0,68.0,7.62,8.06,3.01,18.39,CVNA
2024-11-18,113.1,28.1,68.2,0.41,-3.14,-13.46,-13.9,CVNA
2025-01-20,126.2,11.8,57.2,2.92,9.81,-7.14,-1.38,CVNA
2025-07-28,64.3,5.6,56.5,-5.5,-4.84,1.13,-16.65,CVNA
2025-12-22,72.5,17.1,50.8,-8.72,5.61,7.95,-31.12,CVNA
2025-02-10,61.7,36.1,31.8,-14.81,-18.0,-29.2,-31.02,DKNG
2025-02-17,74.1,10.2,36.0,-3.75,-13.52,-13.34,-23.02,DKNG
