date,sym,level,setup,direction,exit_cfg,tp,sl,entry_px,result,pnl_pts,bars_held,time_bucket
2025-10-01,NQ,VWAP,reject,short,TP25_SL12,25,12,24816.0,SL,-12.0,0,09:30-09:45
2025-10-01,NQ,VWAP,reject,short,TP40_SL20,40,20,24816.0,SL,-20.0,1,09:30-09:45
2025-10-01,NQ,OR15Low,breakout,long,TP25_SL12,25,12,24773.75,SL,-12.0,0,09:45-10:00
2025-10-01,NQ,OR15Low,breakout,long,TP40_SL20,40,20,24773.75,SL,-20.0,0,09:45-10:00
2025-10-01,NQ,PriorRTHLow,breakout,long,TP25_SL12,25,12,24736.75,TP,25.0,1,09:45-10:00
2025-10-01,NQ,PriorRTHLow,breakout,long,TP40_SL20,40,20,24736.75,TP,40.0,4,09:45-10:00
2025-10-01,NQ,OR15Low,reject,short,TP25_SL12,25,12,24753.25,SL,-12.0,1,09:45-10:00
2025-10-01,NQ,OR15Low,reject,short,TP40_SL20,40,20,24753.25,SL,-20.0,2,09:45-10:00
2025-10-01,NQ,PriorRTHHigh,reject,short,TP25_SL12,25,12,24879.0,SL,-12.0,2,10:30-11:00
2025-10-01,NQ,PriorRTHHigh,reject,short,TP40_SL20,40,20,24879.0,SL,-20.0,3,10:30-11:00
2025-10-02,NQ,OR15High,reject,short,TP25_SL12,25,12,25138.75,TP,25.0,1,09:30-09:45
2025-10-02,NQ,OR15High,reject,short,TP40_SL20,40,20,25138.75,TP,40.0,4,09:30-09:45
2025-10-02,NQ,VWAP,reject,short,TP25_SL12,25,12,25138.75,TP,25.0,1,09:30-09:45
2025-10-02,NQ,VWAP,reject,short,TP40_SL20,40,20,25138.75,TP,40.0,4,09:30-09:45
2025-10-02,NQ,GlobexLow,breakout,long,TP25_SL12,25,12,25093.75,SL,-12.0,0,09:30-09:45
2025-10-02,NQ,GlobexLow,breakout,long,TP40_SL20,40,20,25093.75,SL,-20.0,2,09:30-09:45
2025-10-02,NQ,PriorRTHHigh,breakout,long,TP25_SL12,25,12,25084.0,SL,-12.0,1,09:30-09:45
2025-10-02,NQ,PriorRTHHigh,breakout,long,TP40_SL20,40,20,25084.0,SL,-20.0,1,09:30-09:45
2025-10-02,NQ,OR15Low,breakout,long,TP25_SL12,25,12,25084.0,SL,-12.0,1,09:30-09:45
2025-10-02,NQ,OR15Low,breakout,long,TP40_SL20,40,20,25084.0,SL,-20.0,1,09:30-09:45
2025-10-02,NQ,GlobexLow,reject,short,TP25_SL12,25,12,25055.5,SL,-12.0,3,09:30-09:45
2025-10-02,NQ,GlobexLow,reject,short,TP40_SL20,40,20,25055.5,TP,40.0,9,09:30-09:45
2025-10-02,NQ,PriorRTHHigh,reject,short,TP25_SL12,25,12,25058.5,TP,25.0,0,09:45-10:00
2025-10-02,NQ,PriorRTHHigh,reject,short,TP40_SL20,40,20,25058.5,TP,40.0,3,09:45-10:00
2025-10-02,NQ,OR15Low,reject,short,TP25_SL12,25,12,25058.5,TP,25.0,0,09:45-10:00
2025-10-02,NQ,OR15Low,reject,short,TP40_SL20,40,20,25058.5,TP,40.0,3,09:45-10:00
2025-10-03,NQ,GlobexLow,breakout,long,TP25_SL12,25,12,25149.0,SL,-12.0,0,09:30-09:45
2025-10-03,NQ,GlobexLow,breakout,long,TP40_SL20,40,20,25149.0,SL,-20.0,8,09:30-09:45
2025-10-03,NQ,PriorRTHHigh,reject,short,TP25_SL12,25,12,25149.0,SL,-12.0,5,09:30-09:45
2025-10-03,NQ,PriorRTHHigh,reject,short,TP40_SL20,40,20,25149.0,TP,40.0,23,09:30-09:45
2025-10-03,NQ,OR15High,reject,short,TP25_SL12,25,12,25149.0,SL,-12.0,5,09:30-09:45
2025-10-03,NQ,OR15High,reject,short,TP40_SL20,40,20,25149.0,TP,40.0,23,09:30-09:45
2025-10-03,NQ,OR15Low,breakout,long,TP25_SL12,25,12,25149.0,SL,-12.0,0,09:30-09:45
2025-10-03,NQ,OR15Low,breakout,long,TP40_SL20,40,20,25149.0,SL,-20.0,8,09:30-09:45
2025-10-03,NQ,VWAP,reject,short,TP25_SL12,25,12,25149.0,SL,-12.0,5,09:30-09:45
2025-10-03,NQ,VWAP,reject,short,TP40_SL20,40,20,25149.0,TP,40.0,23,09:30-09:45
2025-10-03,NQ,OR15Low,reject,short,TP25_SL12,25,12,25137.5,TP,25.0,1,09:45-10:00
2025-10-03,NQ,OR15Low,reject,short,TP40_SL20,40,20,25137.5,TP,40.0,5,09:45-10:00
2025-10-03,NQ,GlobexLow,reject,short,TP25_SL12,25,12,25103.75,TP,25.0,1,09:45-10:00
2025-10-03,NQ,GlobexLow,reject,short,TP40_SL20,40,20,25103.75,TP,40.0,9,09:45-10:00
2025-10-03,NQ,PriorRTHLow,breakout,long,TP25_SL12,25,12,25051.25,SL,-12.0,0,12:00-14:00
2025-10-03,NQ,PriorRTHLow,breakout,long,TP40_SL20,40,20,25051.25,SL,-20.0,0,12:00-14:00
2025-10-03,NQ,PriorRTHLow,reject,short,TP25_SL12,25,12,24988.0,TP,25.0,4,12:00-14:00
2025-10-03,NQ,PriorRTHLow,reject,short,TP40_SL20,40,20,24988.0,TP,40.0,5,12:00-14:00
2025-10-06,NQ,OR15High,reject,short,TP25_SL12,25,12,25173.25,SL,-12.0,1,09:30-09:45
2025-10-06,NQ,OR15High,reject,short,TP40_SL20,40,20,25173.25,SL,-20.0,5,09:30-09:45
2025-10-06,NQ,VWAP,reject,short,TP25_SL12,25,12,25173.25,SL,-12.0,1,09:30-09:45
2025-10-06,NQ,VWAP,reject,short,TP40_SL20,40,20,25173.25,SL,-20.0,5,09:30-09:45
2025-10-06,NQ,PriorRTHHigh,reject,short,TP25_SL12,25,12,25167.5,SL,-12.0,0,09:30-09:45
2025-10-06,NQ,PriorRTHHigh,reject,short,TP40_SL20,40,20,25167.5,SL,-20.0,3,09:30-09:45
2025-10-06,NQ,OR15Low,breakout,long,TP25_SL12,25,12,25167.5,SL,-12.0,1,09:30-09:45
2025-10-06,NQ,OR15Low,breakout,long,TP40_SL20,40,20,25167.5,SL,-20.0,9,09:30-09:45
2025-10-06,NQ,OR15Low,reject,short,TP25_SL12,25,12,25160.0,SL,-12.0,0,09:45-10:00
2025-10-06,NQ,OR15Low,reject,short,TP40_SL20,40,20,25160.0,SL,-20.0,32,09:45-10:00
2025-10-06,NQ,GlobexHigh,reject,short,TP25_SL12,25,12,25218.5,SL,-12.0,30,12:00-14:00
2025-10-06,NQ,GlobexHigh,reject,short,TP40_SL20,40,20,25218.5,SL,-20.0,60,12:00-14:00
2025-10-07,NQ,PriorRTHHigh,reject,short,TP25_SL12,25,12,25226.25,SL,-12.0,1,09:30-09:45
2025-10-07,NQ,PriorRTHHigh,reject,short,TP40_SL20,40,20,25226.25,SL,-20.0,3,09:30-09:45
2025-10-07,NQ,OR15Low,reject,short,TP25_SL12,25,12,25226.25,SL,-12.0,1,09:30-09:45
2025-10-07,NQ,OR15Low,reject,short,TP40_SL20,40,20,25226.25,SL,-20.0,3,09:30-09:45
2025-10-07,NQ,VWAP,reject,short,TP25_SL12,25,12,25226.25,SL,-12.0,1,09:30-09:45
2025-10-07,NQ,VWAP,reject,short,TP40_SL20,40,20,25226.25,SL,-20.0,3,09:30-09:45
2025-10-07,NQ,OR15High,reject,short,TP25_SL12,25,12,25230.25,SL,-12.0,1,09:30-09:45
