Sym,Setup,Level,TimeWindow,ExitCfg,N,WR%,PF,EV_pts,MaxDD_pts
ES,reject,GlobexLow,10:00-10:30,TP8_SL4,18,16.7,0.4,-2.0,-48.0
ES,reject,PriorRTHLow,09:45-10:00,TP12_SL6,12,16.7,0.4,-3.0,-42.0
ES,reject,OR15Low,09:30-09:45,TP8_SL4,148,16.9,0.39,-2.02,-311.5
ES,reject,GlobexHigh,12:00-14:00,TP8_SL4,20,15.0,0.35,-2.2,-52.0
ES,breakout,GlobexLow,11:00-12:00,TP12_SL6,14,14.3,0.33,-3.43,-54.0
ES,breakout,PriorRTHLow,14:00-close,TP8_SL4,8,12.5,0.33,-2.0,-16.0
ES,reject,OR15Low,10:00-10:30,TP12_SL6,14,14.3,0.33,-3.43,-42.0
ES,reject,PriorRTHHigh,12:00-14:00,TP12_SL6,11,18.2,0.29,-3.5,-50.5
ES,reject,PriorRTHLow,12:00-14:00,TP12_SL6,8,12.5,0.29,-3.75,-36.0
ES,reject,PriorRTHHigh,12:00-14:00,TP8_SL4,11,9.1,0.2,-2.91,-40.0
ES,breakout,PriorRTHLow,10:30-11:00,TP12_SL6,12,8.3,0.18,-4.5,-48.0
ES,breakout,GlobexHigh,09:30-09:45,TP12_SL6,5,0.0,0.0,-6.0,-24.0
ES,breakout,GlobexHigh,09:45-10:00,TP12_SL6,3,0.0,0.0,-6.0,-12.0
ES,breakout,OR15Low,10:00-10:30,TP12_SL6,1,0.0,0.0,-6.0,0.0
ES,breakout,OR15Low,10:00-10:30,TP8_SL4,1,0.0,0.0,-4.0,0.0
ES,breakout,PriorRTHHigh,10:00-10:30,TP8_SL4,3,0.0,0.0,-4.0,-8.0
ES,breakout,PriorRTHHigh,11:00-12:00,TP12_SL6,1,0.0,0.0,-6.0,0.0
ES,breakout,PriorRTHHigh,11:00-12:00,TP8_SL4,1,0.0,0.0,-4.0,0.0
ES,breakout,PriorRTHLow,10:30-11:00,TP8_SL4,12,0.0,0.0,-4.0,-44.0
ES,breakout,PriorRTHLow,11:00-12:00,TP12_SL6,5,0.0,0.0,-6.0,-24.0
ES,breakout,PriorRTHLow,11:00-12:00,TP8_SL4,5,0.0,0.0,-4.0,-16.0
ES,reject,OR15High,10:00-10:30,TP8_SL4,4,0.0,0.0,-4.0,-12.0
ES,reject,OR15High,11:00-12:00,TP12_SL6,1,0.0,0.0,-6.0,0.0
ES,reject,OR15High,11:00-12:00,TP8_SL4,1,0.0,0.0,-4.0,0.0
ES,reject,OR15High,12:00-14:00,TP12_SL6,1,0.0,0.0,-6.0,0.0
ES,reject,OR15High,12:00-14:00,TP8_SL4,1,0.0,0.0,-4.0,0.0
