symbol,direction,entry,exit,exit_type,pnl_pct,bar,slack,tier,rvol,cluster,score,strategy
AAPL,long,257.7,258.17,sl,-0.0003,30,0.9459459459459925,expanded,1.5973205710471914,8,85,boof22
AAPL,short,260.01,260.46,sl,-0.0003,30,0.80720720720734,expanded,1.5167681874059034,46,85,boof22
AAPL,long,258.99,260.14,tp,0.0005,30,1.0397877984084232,expanded,2.024809300278715,9,85,boof22
AAPL,long,259.49,260.37,tp,0.0005,30,0.698706099815379,expanded,1.3144808814677171,50,95,boof22
AAPL,long,259.425,260.37,tp,0.0005,30,1.057090239410858,expanded,1.8195116899256918,50,85,boof22
AAPL,long,260.11,260.46,sl,-0.0003,30,0.9834710743802046,expanded,1.2957605580489915,23,85,boof22
AAPL,short,260.17,259.01,tp,0.0005,30,1.0769230769232114,expanded,1.3671751125769012,136,85,boof22
AAPL,long,258.68,257.87,sl,-0.0003,30,1.0865671641791328,expanded,1.445589919816724,37,85,boof22
AAPL,long,258.35,257.53,sl,-0.0003,30,1.1399491094149181,expanded,1.773610374584197,18,85,boof22
AAPL,short,258.25,257.62,tp,0.0005,30,1.1695331695328735,expanded,1.9913453565505805,152,85,boof22
AAPL,long,257.375,258.08,tp,0.0005,30,0.9666666666665349,expanded,1.3292814429957847,77,85,boof22
AAPL,short,257.56,257.29,tp,0.0005,30,0.900804289544293,expanded,1.3265219293980357,3,80,boof22
AAPL,long,257.3,256.57,tp,0.0005,30,0.7624810892587394,expanded,1.588063629580892,103,95,boof22
AAPL,long,256.62,256.605,tp,0.0005,30,0.8217391304347434,expanded,1.2695044385467191,117,85,boof22
AAPL,long,256.47,256.54,sl,-0.0003,30,1.0046296296297832,expanded,1.582598810228299,65,85,boof22
AAPL,long,255.59,255.41,sl,-0.0003,30,1.191489361702287,expanded,1.4578539750745803,75,85,boof22
AAPL,short,255.22,256.03,sl,-0.0003,30,0.6012269938649948,expanded,0.9853650726652161,20,80,boof22
AAPL,short,255.705,256.665,sl,-0.0003,30,0.9637681159420207,expanded,1.357382748055621,89,85,boof22
AAPL,long,256.37,256.66,sl,-0.0003,30,0.7868852459016725,expanded,0.8919718535103152,11,80,boof22
AAPL,long,256.09,256.885,tp,0.0005,30,0.7113163972287375,expanded,0.8091474874449271,81,80,boof22
