date,side,gap_pct,config,exit_bars,ep,K,delta,opt_entry,opt_exit,und_move,pnl_pct,pnl_dollar
2026-02-05,long,-0.988,0DTE ~45d,60,598.97,600,0.454,2.567,0.957,-0.596,-62.74,-161.08
2026-02-05,long,-0.988,1DTE ~45d,15,598.97,601,0.437,3.419,5.132,0.6444,50.09,171.27
2026-02-05,long,-0.988,1DTE ~45d,30,598.97,601,0.437,3.419,2.868,-0.1035,-16.11,-55.09
2026-02-05,long,-0.988,1DTE ~45d,60,598.97,601,0.437,3.419,1.762,-0.596,-48.47,-165.74
2026-02-20,long,-0.545,0DTE ATM,15,600.38,600,0.529,3.268,6.694,0.8996,104.82,342.58
2026-02-20,long,-0.545,0DTE ATM,30,600.38,600,0.529,3.268,8.967,1.3525,174.36,569.88
2026-02-20,long,-0.545,0DTE ATM,60,600.38,600,0.529,3.268,7.293,1.046,123.13,402.44
2026-02-20,long,-0.545,1DTE ATM,15,600.38,600,0.527,4.579,7.73,0.8996,68.82,315.09
2026-02-20,long,-0.545,1DTE ATM,30,600.38,600,0.527,4.579,9.789,1.3525,113.81,521.08
2026-02-20,long,-0.545,1DTE ATM,60,600.38,600,0.527,4.579,8.276,1.046,80.75,369.73
2026-02-20,long,-0.545,0DTE ~45d,15,600.38,601,0.476,2.771,5.919,0.8996,113.6,314.79
2026-02-20,long,-0.545,0DTE ~45d,30,600.38,601,0.476,2.771,8.09,1.3525,191.95,531.9
2026-02-20,long,-0.545,0DTE ~45d,60,600.38,601,0.476,2.771,6.467,1.046,133.39,369.62
2026-02-20,long,-0.545,1DTE ~45d,15,600.38,602,0.452,3.614,6.356,0.8996,75.86,274.18
2026-02-20,long,-0.545,1DTE ~45d,30,600.38,602,0.452,3.614,8.237,1.3525,127.88,462.21
2026-02-20,long,-0.545,1DTE ~45d,60,600.38,602,0.452,3.614,6.831,1.046,89.0,321.7
2026-02-20,short,-0.545,0DTE ATM,15,602.28,602,0.476,2.812,1.795,-0.3204,-36.17,-101.72
2026-02-20,short,-0.545,0DTE ATM,30,602.28,602,0.476,2.812,1.663,-0.357,-40.86,-114.9
2026-02-20,short,-0.545,0DTE ATM,60,602.28,602,0.476,2.812,1.246,-0.5164,-55.68,-156.56
2026-02-20,short,-0.545,1DTE ATM,15,602.28,602,0.477,4.012,2.915,-0.3204,-27.33,-109.64
2026-02-20,short,-0.545,1DTE ATM,30,602.28,602,0.477,4.012,2.791,-0.357,-30.42,-122.03
2026-02-20,short,-0.545,1DTE ATM,60,602.28,602,0.477,4.012,2.36,-0.5164,-41.16,-165.14
2026-02-20,short,-0.545,0DTE ~45d,15,602.28,601,0.424,2.357,1.449,-0.3204,-38.54,-90.83
2026-02-20,short,-0.545,0DTE ~45d,30,602.28,601,0.424,2.357,1.331,-0.357,-43.51,-102.56
2026-02-20,short,-0.545,0DTE ~45d,60,602.28,601,0.424,2.357,0.972,-0.5164,-58.77,-138.51
2026-02-20,short,-0.545,1DTE ~45d,15,602.28,601,0.44,3.546,2.527,-0.3204,-28.74,-101.91
2026-02-20,short,-0.545,1DTE ~45d,30,602.28,601,0.44,3.546,2.413,-0.357,-31.97,-113.37
2026-02-20,short,-0.545,1DTE ~45d,60,602.28,601,0.44,3.546,2.02,-0.5164,-43.03,-152.6
2026-02-27,long,-0.99,0DTE ATM,15,603.29,603,0.524,3.236,4.006,0.2834,23.79,77.0
2026-02-27,long,-0.99,0DTE ATM,30,603.29,603,0.524,3.236,4.202,0.3497,29.83,96.56
2026-02-27,long,-0.99,0DTE ATM,60,603.29,603,0.524,3.236,4.766,0.5165,47.26,152.95
2026-02-27,long,-0.99,1DTE ATM,15,603.29,603,0.523,4.553,5.251,0.2834,15.32,69.77
2026-02-27,long,-0.99,1DTE ATM,30,603.29,603,0.523,4.553,5.449,0.3497,19.67,89.58
2026-02-27,long,-0.99,1DTE ATM,60,603.29,603,0.523,4.553,5.997,0.5165,31.71,144.37
2026-02-27,long,-0.99,0DTE ~45d,15,603.29,604,0.472,2.744,3.419,0.2834,24.6,67.49
2026-02-27,long,-0.99,0DTE ~45d,30,603.29,604,0.472,2.744,3.59,0.3497,30.86,84.67
2026-02-27,long,-0.99,0DTE ~45d,60,603.29,604,0.472,2.744,4.094,0.5165,49.2,134.99
2026-02-27,long,-0.99,1DTE ~45d,15,603.29,605,0.449,3.596,4.161,0.2834,15.73,56.55
2026-02-27,long,-0.99,1DTE ~45d,30,603.29,605,0.449,3.596,4.327,0.3497,20.34,73.15
2026-02-27,long,-0.99,1DTE ~45d,60,603.29,605,0.449,3.596,4.793,0.5165,33.31,119.77
2026-02-27,short,-0.99,0DTE ATM,15,603.23,603,0.479,2.852,2.172,-0.1757,-23.85,-68.02
2026-02-27,short,-0.99,0DTE ATM,30,603.23,603,0.479,2.852,1.58,-0.4111,-44.59,-127.16
2026-02-27,short,-0.99,0DTE ATM,60,603.23,603,0.479,2.852,1.439,-0.4294,-49.56,-141.35
2026-02-27,short,-0.99,1DTE ATM,15,603.23,603,0.479,4.05,3.315,-0.1757,-18.17,-73.59
2026-02-27,short,-0.99,1DTE ATM,30,603.23,603,0.479,4.05,2.697,-0.4111,-33.42,-135.37
2026-02-27,short,-0.99,1DTE ATM,60,603.23,603,0.479,4.05,2.581,-0.4294,-36.27,-146.91
2026-02-27,short,-0.99,0DTE ~45d,15,603.23,603,0.479,2.852,2.172,-0.1757,-23.85,-68.02
2026-02-27,short,-0.99,0DTE ~45d,30,603.23,603,0.479,2.852,1.58,-0.4111,-44.59,-127.16
2026-02-27,short,-0.99,0DTE ~45d,60,603.23,603,0.479,2.852,1.439,-0.4294,-49.56,-141.35
2026-02-27,short,-0.99,1DTE ~45d,15,603.23,602,0.442,3.583,2.891,-0.1757,-19.32,-69.23
2026-02-27,short,-0.99,1DTE ~45d,30,603.23,602,0.442,3.583,2.328,-0.4111,-35.02,-125.49
2026-02-27,short,-0.99,1DTE ~45d,60,603.23,602,0.442,3.583,2.219,-0.4294,-38.06,-136.37
2026-03-03,long,-1.927,0DTE ATM,15,598.06,598,0.512,3.092,2.708,-0.0585,-12.41,-38.36
2026-03-03,long,-1.927,0DTE ATM,30,598.06,598,0.512,3.092,1.589,-0.4813,-48.6,-150.25
2026-03-03,long,-1.927,0DTE ATM,60,598.06,598,0.512,3.092,1.038,-0.7257,-66.43,-205.39
2026-03-03,long,-1.927,1DTE ATM,15,598.06,598,0.515,4.397,3.966,-0.0585,-9.81,-43.14
2026-03-03,long,-1.927,1DTE ATM,30,598.06,598,0.515,4.397,2.786,-0.4813,-36.64,-161.13
2026-03-03,long,-1.927,1DTE ATM,60,598.06,598,0.515,4.397,2.167,-0.7257,-50.73,-223.07
2026-03-03,long,-1.927,0DTE ~45d,15,598.06,599,0.459,2.611,2.249,-0.0585,-13.88,-36.25
2026-03-03,long,-1.927,0DTE ~45d,30,598.06,599,0.459,2.611,1.271,-0.4813,-51.32,-134.0
2026-03-03,long,-1.927,0DTE ~45d,60,598.06,599,0.459,2.611,0.802,-0.7257,-69.3,-180.96
