sym,time,open,high,low,close,volume,trade_count,vwap
SPY,2026-05-13 08:41:00-04:00,737.56,737.76,737.56,737.76,1200.0,13.0,737.650417
SPY,2026-05-13 08:42:00-04:00,737.68,737.78,737.68,737.78,367.0,5.0,737.707923
SPY,2026-05-13 08:44:00-04:00,737.71,737.71,737.71,737.71,67.0,1.0,737.71
SPY,2026-05-13 08:45:00-04:00,737.91,737.91,737.86,737.86,134.0,2.0,737.885
SPY,2026-05-13 08:46:00-04:00,737.74,737.74,737.74,737.74,67.0,1.0,737.74
SPY,2026-05-13 08:47:00-04:00,737.69,737.69,737.69,737.69,134.0,2.0,737.69
SPY,2026-05-13 08:48:00-04:00,737.76,737.76,737.76,737.76,53.0,3.0,737.76
SPY,2026-05-13 08:49:00-04:00,737.77,737.77,737.77,737.77,40.0,1.0,737.77
SPY,2026-05-13 08:57:00-04:00,737.61,737.61,737.61,737.61,100.0,1.0,737.61
SPY,2026-05-13 09:00:00-04:00,737.87,737.87,737.87,737.87,40.0,1.0,737.87
SPY,2026-05-13 09:02:00-04:00,738.31,738.31,738.31,738.31,125.0,1.0,738.31
SPY,2026-05-14 08:01:00-04:00,744.84,744.84,744.84,744.84,100.0,2.0,744.84
SPY,2026-05-14 08:03:00-04:00,745.0,745.0,745.0,745.0,70.0,1.0,745.0
SPY,2026-05-14 08:17:00-04:00,745.05,745.07,745.05,745.07,120.0,3.0,745.057273
SPY,2026-05-14 08:26:00-04:00,745.26,745.26,745.26,745.26,100.0,1.0,745.26
SPY,2026-05-14 08:45:00-04:00,744.71,744.71,744.71,744.71,40.0,1.0,744.71
SPY,2026-05-14 08:50:00-04:00,744.65,744.65,744.6,744.6,500.0,6.0,744.621277
SPY,2026-05-14 08:51:00-04:00,744.5,744.5,744.5,744.5,100.0,1.0,744.5
SPY,2026-05-14 08:52:00-04:00,744.5,744.5,744.5,744.5,100.0,1.0,744.5
SPY,2026-05-15 08:06:00-04:00,740.1,740.1,740.1,740.1,80.0,2.0,740.1
SPY,2026-05-15 08:16:00-04:00,739.47,739.5,739.43,739.5,400.0,6.0,739.467059
SPY,2026-05-15 08:17:00-04:00,739.5,739.5,739.5,739.5,100.0,1.0,739.5
SPY,2026-05-15 08:24:00-04:00,739.9,739.9,739.9,739.9,102.0,2.0,739.9
SPY,2026-05-15 08:30:00-04:00,739.23,739.23,739.23,739.23,85.0,3.0,739.23
SPY,2026-05-15 08:38:00-04:00,738.99,738.99,738.99,738.99,100.0,1.0,738.99
SPY,2026-05-15 08:39:00-04:00,739.08,739.08,739.08,739.08,100.0,1.0,739.08
SPY,2026-05-15 08:48:00-04:00,739.2,739.2,739.2,739.2,80.0,2.0,739.2
SPY,2026-05-15 08:51:00-04:00,739.33,739.35,739.33,739.35,260.0,3.0,739.341923
SPY,2026-05-15 08:52:00-04:00,739.61,739.74,739.61,739.74,420.0,4.0,739.65381
SPY,2026-05-15 08:53:00-04:00,739.64,739.64,739.64,739.64,80.0,1.0,739.64
SPY,2026-05-15 09:16:00-04:00,739.68,739.69,739.68,739.69,160.0,3.0,739.684615
SPY,2026-05-15 09:19:00-04:00,740.3,740.3,740.3,740.3,40.0,1.0,740.3
SPY,2026-05-18 08:09:00-04:00,738.2,738.2,738.2,738.2,65.0,1.0,738.2
SPY,2026-05-18 08:23:00-04:00,738.2,738.2,738.11,738.11,198.0,3.0,738.163571
SPY,2026-05-18 08:33:00-04:00,737.99,737.99,737.99,737.99,100.0,2.0,737.99
SPY,2026-05-18 08:34:00-04:00,738.6,738.6,738.6,738.6,100.0,1.0,738.6
SPY,2026-05-18 08:38:00-04:00,739.14,739.14,739.14,739.14,100.0,2.0,739.14
SPY,2026-05-18 08:42:00-04:00,739.69,739.89,739.69,739.89,401.0,5.0,739.75
SPY,2026-05-18 08:43:00-04:00,739.94,739.94,739.94,739.94,100.0,1.0,739.94
SPY,2026-05-18 08:45:00-04:00,740.56,740.56,740.53,740.53,375.0,6.0,740.543824
SPY,2026-05-18 08:46:00-04:00,741.03,741.22,741.03,741.22,201.0,3.0,741.125
SPY,2026-05-18 08:49:00-04:00,741.19,741.19,741.19,741.19,50.0,1.0,741.19
SPY,2026-05-18 08:50:00-04:00,741.05,741.18,741.05,741.18,200.0,2.0,741.115
SPY,2026-05-18 08:52:00-04:00,740.87,740.89,740.68,740.68,395.0,7.0,740.801053
SPY,2026-05-18 08:55:00-04:00,740.74,740.74,740.74,740.74,40.0,1.0,740.74
SPY,2026-05-18 08:58:00-04:00,740.97,740.97,740.97,740.97,70.0,1.0,740.97
SPY,2026-05-18 08:59:00-04:00,740.93,741.01,740.93,741.01,180.0,3.0,740.962941
SPY,2026-05-19 08:06:00-04:00,735.19,735.19,735.19,735.19,70.0,1.0,735.19
SPY,2026-05-19 08:12:00-04:00,735.68,735.68,735.68,735.68,70.0,1.0,735.68
SPY,2026-05-19 08:18:00-04:00,735.23,735.23,735.21,735.21,420.0,6.0,735.223333
SPY,2026-05-19 08:31:00-04:00,735.5,735.5,735.5,735.5,70.0,1.0,735.5
SPY,2026-05-19 08:37:00-04:00,736.19,736.19,736.19,736.19,60.0,1.0,736.19
SPY,2026-05-19 08:59:00-04:00,736.19,736.19,736.19,736.19,74.0,2.0,736.19
SPY,2026-05-19 09:07:00-04:00,735.03,735.03,735.03,735.03,40.0,1.0,735.03
SPY,2026-05-19 09:21:00-04:00,734.43,734.43,734.43,734.43,40.0,1.0,734.43
SPY,2026-05-19 09:23:00-04:00,734.61,734.62,734.61,734.62,140.0,2.0,734.615
SPY,2026-05-20 08:09:00-04:00,736.5,736.5,736.5,736.5,100.0,1.0,736.5
SPY,2026-05-20 08:17:00-04:00,736.69,736.69,736.69,736.69,67.0,1.0,736.69
SPY,2026-05-20 08:18:00-04:00,736.64,736.67,736.64,736.67,408.0,6.0,736.655737
SPY,2026-05-20 08:26:00-04:00,737.1,737.1,737.1,737.1,200.0,1.0,737.1
SPY,2026-05-20 08:28:00-04:00,737.06,737.06,737.06,737.06,40.0,1.0,737.06
SPY,2026-05-20 08:34:00-04:00,737.49,737.49,737.49,737.49,70.0,1.0,737.49
SPY,2026-05-20 08:35:00-04:00,737.6,737.6,737.6,737.6,195.0,2.0,737.6
SPY,2026-05-20 08:43:00-04:00,737.02,737.02,737.02,737.02,100.0,1.0,737.02
SPY,2026-05-20 08:50:00-04:00,736.82,736.82,736.82,736.82,140.0,2.0,736.82
SPY,2026-05-21 08:05:00-04:00,739.44,739.44,739.44,739.44,40.0,1.0,739.44
SPY,2026-05-21 08:24:00-04:00,738.62,738.62,738.62,738.62,67.0,1.0,738.62
SPY,2026-05-21 08:33:00-04:00,739.34,739.37,739.32,739.34,651.0,9.0,739.342222
SPY,2026-05-21 08:54:00-04:00,738.75,738.75,738.75,738.75,40.0,1.0,738.75
SPY,2026-05-21 08:58:00-04:00,738.17,738.17,738.17,738.17,50.0,1.0,738.17
SPY,2026-05-21 09:01:00-04:00,738.44,738.44,738.44,738.44,70.0,2.0,738.44
SPY,2026-05-21 09:04:00-04:00,739.0,739.0,739.0,739.0,40.0,1.0,739.0
SPY,2026-05-21 09:05:00-04:00,738.97,738.97,738.97,738.97,70.0,1.0,738.97
