date,sym,setup,side,gap_pct,ep,mfe_15m,mae_15m,mfe_30m,mae_30m,mfe_60m,mae_60m,hit_+0.25%,hit_+0.50%,hit_+0.75%,open_pos
2026-05-13,QQQ,A,long,0.466,711.7,0.09273570324574514,0.20512856540678115,0.09273570324574514,0.20512856540678115,0.30209357875509024,0.20512856540678115,True,False,False,
2026-05-14,QQQ,A,long,0.028,718.395,0.1802629472643981,0.1162313212090892,0.32642209369497666,0.1162313212090892,0.4600533132886593,0.1162313212090892,True,False,False,
2026-05-15,QQQ,A,short,-1.342,709.53,0.13952898397530888,0.19449494735951905,0.13952898397530888,0.19449494735951905,0.13952898397530888,0.32978168646851536,False,False,False,
2026-05-19,QQQ,A,short,-0.814,699.4101,0.5919416948654409,0.1286655711720332,0.5948012475084441,0.1286655711720332,0.5948012475084441,0.1286655711720332,True,True,False,
2026-05-20,QQQ,A,long,0.568,708.62,0.17922158561711238,0.3090513956704658,0.17922158561711238,0.3090513956704658,0.6364483079788872,0.3090513956704658,True,True,False,
2026-05-21,QQQ,A,short,-0.507,707.17,0.05656348544196972,0.31534143133900167,0.05656348544196972,0.37756126532517964,0.05656348544196972,0.37756126532517964,False,False,False,
2026-05-22,QQQ,A,long,0.457,720.635,0.05064977415751512,0.04787444406669497,0.08950439542902881,0.05897576442997558,0.08950439542902881,0.08672906533820866,False,False,False,
2026-05-28,QQQ,A,long,0.051,731.6987,0.1573461863469201,0.24753358178714616,0.1573461863469201,0.24753358178714616,0.3445817246907773,0.24753358178714616,True,False,False,
2026-05-29,QQQ,A,long,0.324,741.39,0.023617798999183037,0.3291115337406683,0.023617798999183037,0.5867357261360449,0.023617798999183037,0.8281741053966181,False,False,False,
2026-06-02,QQQ,A,long,0.004,743.49,0.15736593632731563,0.09737857940255369,0.15736593632731563,0.20175120041964248,0.1640909763413129,0.20175120041964248,False,False,False,
2026-06-04,QQQ,A,short,-1.181,732.96,0.0463872516917747,0.4584151931892618,0.0463872516917747,0.59894127919668,0.0463872516917747,0.7954049334206406,False,False,False,
2026-06-05,QQQ,A,short,-1.417,726.12,0.3828568280724911,0.10397730402688199,0.3828568280724911,0.23687544758442505,0.3828568280724911,0.23687544758442505,True,False,False,
2026-06-10,QQQ,A,short,-0.887,696.38,0.02871995175048759,0.898934489790056,0.02871995175048759,0.898934489790056,0.02871995175048759,0.898934489790056,False,False,False,
2026-06-11,QQQ,A,long,0.895,705.53,0.04110385100563794,0.8971978512607441,0.04110385100563794,0.8971978512607441,0.04110385100563794,1.4924950037560378,False,False,False,
2026-06-12,QQQ,A,long,0.27,723.3,0.09816120558551589,0.2073828287017835,0.09816120558551589,0.8972763721830512,0.09816120558551589,1.0687128439098443,False,False,False,
2025-12-18,,B,short,1.424,609.625,0.443715398810751,0.033627229854425414,0.443715398810751,0.1008816895632576,0.443715398810751,0.3534960016403482,True,False,False,
2025-12-23,,B,short,-0.211,618.0,0.024271844660190497,0.17152103559869666,0.024271844660190497,0.21521035598706162,0.024271844660190497,0.42718446601941523,False,False,False,
2025-12-24,,B,long,-0.021,622.37,0.046596076289018365,0.09319215257805501,0.046596076289018365,0.09319215257805501,0.11327666821987578,0.09319215257805501,False,False,False,
2025-12-30,,B,short,-0.171,620.04,0.10644474550028518,0.18063350751564491,0.10644474550028518,0.27578865879621256,0.10644474550028518,0.27578865879621256,False,False,False,
2025-12-30,,B,long,-0.171,620.44,0.2111404809489951,0.004835278189685772,0.2111404809489951,0.1369995487073726,0.2111404809489951,0.1386113081039284,False,False,False,
2026-01-06,,B,short,0.244,619.18,0.10336251170903234,0.43767563551794897,0.10336251170903234,0.5281178332633638,0.10336251170903234,0.5507283826997129,False,False,False,
2026-01-09,,B,long,0.097,621.67,0.25576270368524007,0.1946370260749148,0.25576270368524007,0.25897984461209544,0.59034536007851,0.41983689095501053,True,True,False,
2026-01-14,,B,long,-0.685,622.365,0.17433499634459462,0.5037236991154693,0.17433499634459462,0.8218649827673485,0.17433499634459462,0.8218649827673485,False,False,False,
2026-01-16,,B,short,0.623,625.44,0.19346380148376122,0.062356101304679314,0.5867869020209888,0.062356101304679314,0.7930416986441603,0.062356101304679314,True,True,True,
2026-01-21,,B,short,0.196,610.49,0.3292437222558913,0.09828170813609112,0.37183246244819435,0.09828170813609112,0.37183246244819435,0.09828170813609112,True,False,False,
2026-01-23,,B,short,-0.147,619.53,0.14204316175164972,0.15334204961826636,0.14204316175164972,0.4035317095217343,0.14204316175164972,0.6343518473681765,False,False,False,
2026-01-27,,B,long,0.553,629.25,0.05880015891934915,0.3035359555025774,0.24473579658322825,0.3035359555025774,0.28923321414382996,0.3035359555025774,True,False,False,
2026-01-28,,B,short,0.705,635.14,0.033850804547034014,0.1952325471549594,0.12280756998456603,0.1952325471549594,0.2771042604780034,0.1952325471549594,True,False,False,
2026-01-30,,B,short,-0.634,625.67,0.07511947192608141,0.41331692425719835,0.10229034475042537,0.41331692425719835,0.23654642223534844,0.41331692425719835,False,False,False,
2026-02-04,,B,long,-0.285,614.05,0.1709958472437209,0.24753684553374838,0.1709958472437209,0.9380343620226352,0.1709958472437209,0.9380343620226352,False,False,False,
2026-02-05,,B,long,-0.988,601.25,0.592099792099783,0.2278586278586286,0.592099792099783,0.5588357588357611,0.592099792099783,1.0528066528066597,True,True,False,
2026-02-06,,B,long,0.43,601.99,0.4618016910579865,0.061462814996927614,0.6013388926726365,0.16279340188375524,0.6013388926726365,0.3687768899815657,True,True,False,
2026-02-06,,B,short,0.43,601.58,0.3008743641743507,0.20612387379899746,0.3008743641743507,0.3939625652448559,0.3008743641743507,0.5801389673858853,True,False,False,
2026-02-11,,B,short,0.747,616.61,0.3438153776292964,0.02757010103630481,0.60492045214966,0.02757010103630481,1.4466194190817467,0.02757010103630481,True,True,True,
2026-02-11,,B,long,0.747,612.26,0.05879854963577789,0.25642700813378894,0.10943063404435355,0.2825596968608137,0.10943063404435355,0.412406493973145,False,False,False,
2026-02-18,,B,long,0.118,602.52,0.2705304388236068,0.1975038173006607,0.8879373298811696,0.1975038173006607,0.9875190865033601,0.1975038173006607,True,True,True,
2026-02-19,,B,short,-0.449,603.61,0.06129785788837239,0.36116035188282997,0.06129785788837239,0.36530209903746474,0.2625867696028953,0.36530209903746474,True,False,False,
2026-02-24,,B,long,0.145,603.25,0.4923331951927107,0.016576875259017444,0.4923331951927107,0.08454206382096824,0.7310401989224978,0.08454206382096824,True,True,False,
2026-03-03,,B,short,-1.927,596.2,0.16101979201610805,0.5350553505534956,0.2767527675276905,0.5350553505534956,0.7262663535726335,0.5350553505534956,True,True,False,
2026-03-04,,B,short,0.439,605.37,0.3204651700612938,0.2576936419049417,0.3204651700612938,0.3039463468622548,0.3204651700612938,0.959743627863942,True,False,False,
2026-03-05,,B,short,-0.459,609.27,0.10996766622350666,0.3446747747304188,0.10996766622350666,0.5728166494329294,0.5252187043510975,0.5728166494329294,True,True,False,
2026-03-10,,B,short,-0.099,608.12,0.1808853515753507,0.2055515358810761,0.3354601065579102,0.2055515358810761,0.44399131750313187,0.22528448332566017,True,False,False,
2026-03-11,,B,short,0.174,607.72,0.10366616204831097,0.23695122753898848,0.10366616204831097,0.3784637662081146,0.1442769696570794,0.41784045284012794,False,False,False,
2026-03-12,,B,long,-0.782,603.63,0.08448884250285621,0.5450358663419584,0.08448884250285621,0.7289233470834745,0.08448884250285621,0.8879611682653304,False,False,False,
2026-03-13,,B,long,0.377,600.11,0.5815433837129916,0.061655363183417126,0.5815433837129916,0.061655363183417126,0.5815433837129916,0.1083134758627547,True,True,False,
2026-03-13,,B,short,0.377,600.7623,0.21677458788608167,0.07085997240506041,0.21677458788608167,0.15956394068004048,0.9142218145179882,0.15956394068004048,True,True,True,
2026-03-17,,B,short,0.466,603.12,0.0,0.3133704735376022,0.0,0.36476986337711326,0.0,0.36476986337711326,False,False,False,
2026-03-19,,B,long,-0.923,589.951,0.3066356358409375,0.219764014299499,0.4100340536756413,0.219764014299499,0.4100340536756413,0.219764014299499,True,False,False,
2026-03-24,,B,long,-0.499,585.07,0.06494949322303235,0.3657681986770984,0.06494949322303235,0.3657681986770984,0.3213290717350053,0.3657681986770984,True,False,False,
2026-03-25,,B,short,0.871,589.6,0.4952510176390897,0.06275440976933591,0.4952510176390897,0.06275440976933591,0.4952510176390897,0.24762550881952555,True,False,False,
2026-03-26,,B,long,-0.93,581.79,0.29392048677358434,0.2303236563020881,0.45033431306829,0.2303236563020881,0.48814864469998315,0.2303236563020881,True,False,False,
2026-03-26,,B,short,-0.93,582.23,0.44312385139893873,0.025763014616213054,0.44312385139893873,0.025763014616213054,0.44312385139893873,0.025763014616213054,True,False,False,
2026-03-27,,B,short,-0.535,569.81,0.3351994524490564,0.12111054562047516,0.6423193696144274,0.1412751618960818,0.6423193696144274,0.1412751618960818,True,True,False,
2026-03-27,,B,long,-0.535,569.445,0.20546321418222288,0.32751187559817174,0.20546321418222288,0.5786335818209085,0.20546321418222288,0.6348286489476611,False,False,False,
2026-03-31,,B,short,1.129,564.49,0.033658700774159785,0.4216195149604059,0.033658700774159785,0.8078088185795931,0.033658700774159785,0.8361529876525762,False,False,False,
2026-04-02,,B,short,-1.773,573.24,0.23027004396065348,0.3140046054008713,0.23027004396065348,0.8861907752424885,0.23027004396065348,2.0148628846556336,False,False,False,
