sym,time,open,high,low,close,volume,trade_count,vwap
QQQ,2025-12-18 09:05:00-05:00,608.95,608.95,608.95,608.95,60.0,1.0,608.95
QQQ,2025-12-18 09:07:00-05:00,609.19,609.19,609.19,609.19,270.0,3.0,609.19
QQQ,2025-12-18 09:09:00-05:00,609.23,609.23,609.23,609.23,40.0,1.0,609.23
QQQ,2025-12-18 09:12:00-05:00,609.54,609.54,609.54,609.54,40.0,1.0,609.54
QQQ,2025-12-18 09:13:00-05:00,609.31,609.37,609.16,609.37,810.0,13.0,609.334872
QQQ,2025-12-18 09:15:00-05:00,609.5,609.5,609.5,609.5,40.0,1.0,609.5
QQQ,2025-12-18 09:19:00-05:00,609.58,609.58,609.58,609.58,50.0,1.0,609.58
QQQ,2025-12-18 09:24:00-05:00,609.3,609.3,609.3,609.3,80.0,1.0,609.3
QQQ,2025-12-18 09:29:00-05:00,609.75,609.75,609.75,609.75,170.0,1.0,609.75
QQQ,2025-12-19 08:14:00-05:00,610.8,610.8,610.8,610.8,50.0,1.0,610.8
QQQ,2025-12-19 08:31:00-05:00,610.85,610.92,610.85,610.92,445.0,4.0,610.885294
QQQ,2025-12-19 08:37:00-05:00,611.16,611.28,611.16,611.28,170.0,4.0,611.236667
QQQ,2025-12-19 08:43:00-05:00,611.01,611.03,611.01,611.03,150.0,3.0,611.02
QQQ,2025-12-19 08:58:00-05:00,611.07,611.07,611.07,611.07,50.0,1.0,611.07
QQQ,2025-12-19 09:03:00-05:00,610.58,610.58,610.58,610.58,40.0,1.0,610.58
QQQ,2025-12-19 09:08:00-05:00,611.26,611.26,611.2,611.2,175.0,2.0,611.217143
QQQ,2025-12-19 09:10:00-05:00,611.24,611.25,611.24,611.25,275.0,4.0,611.245455
QQQ,2025-12-19 09:11:00-05:00,611.37,611.42,611.37,611.42,241.0,5.0,611.390362
QQQ,2025-12-19 09:15:00-05:00,611.48,611.5,611.48,611.5,295.0,5.0,611.485455
QQQ,2025-12-19 09:16:00-05:00,611.62,611.8,611.57,611.8,770.0,8.0,611.687667
QQQ,2025-12-19 09:18:00-05:00,611.86,611.88,611.86,611.88,170.0,4.0,611.87
QQQ,2025-12-19 09:20:00-05:00,612.17,612.17,612.08,612.08,363.0,3.0,612.122985
QQQ,2025-12-19 09:21:00-05:00,612.36,612.36,612.36,612.36,40.0,1.0,612.36
QQQ,2025-12-19 09:25:00-05:00,611.64,611.64,611.64,611.64,250.0,3.0,611.64
QQQ,2025-12-19 09:27:00-05:00,611.52,611.52,611.16,611.16,455.0,2.0,611.298462
QQQ,2025-12-19 09:29:00-05:00,612.2,612.2,612.2,612.2,280.0,1.0,612.2
QQQ,2025-12-22 08:23:00-05:00,620.62,620.62,620.62,620.62,150.0,3.0,620.62
QQQ,2025-12-22 08:26:00-05:00,620.7,620.7,620.7,620.7,40.0,1.0,620.7
QQQ,2025-12-22 08:27:00-05:00,620.6,620.6,620.6,620.6,300.0,1.0,620.6
QQQ,2025-12-22 08:33:00-05:00,620.5,620.5,620.5,620.5,100.0,1.0,620.5
QQQ,2025-12-22 08:39:00-05:00,620.32,620.32,620.32,620.32,100.0,1.0,620.32
QQQ,2025-12-22 08:40:00-05:00,620.3,620.3,620.29,620.29,350.0,4.0,620.295714
QQQ,2025-12-22 09:02:00-05:00,620.72,620.72,620.72,620.72,350.0,3.0,620.72
