symbol,date,time,entry,mfe,LONG_SCORE,bar1_rvol,bar1_body_pct,vwap_slope,is_runner
TSM,2025-01-27,14:32:00,202.43,2.26,3,14.5,1.17,-0.049,1
MRVL,2025-01-03,14:30:00,117.16,0.55,3,17.7,0.71,0.695,0
COIN,2025-02-07,14:30:00,279.01,0.8,4,13.7,1.17,0.521,0
COIN,2025-02-13,14:30:00,289.48,0.44,3,17.1,1.44,0.663,0
MSTR,2025-01-23,14:30:00,378.97,2.96,4,16.7,1.04,0.259,1
MSTR,2025-01-23,14:31:00,381.59,2.26,4,8.2,0.95,0.547,1
MSTR,2025-02-07,14:30:00,340.94,0.88,3,13.5,0.87,0.777,0
MSTR,2025-02-28,14:35:00,240.84,2.1,3,2.0,1.71,0.327,1
RIOT,2025-01-03,14:36:00,10.76,4.0,3,8.5,0.71,1.222,1
RIOT,2025-01-03,14:38:00,10.95,2.89,3,4.0,1.11,1.76,1
RIOT,2025-01-17,14:33:00,14.09,0.27,3,8.1,0.94,0.709,0
RIOT,2025-01-21,14:30:00,14.24,0.56,4,16.3,1.25,0.675,0
RIOT,2025-01-22,14:30:00,13.33,-0.0,4,14.5,1.77,0.695,0
RIOT,2025-01-23,14:32:00,13.36,4.08,3,5.9,1.6,0.333,1
RIOT,2025-01-23,14:33:00,13.48,3.12,3,7.2,1.35,1.041,1
RIOT,2025-01-30,14:30:00,11.66,4.12,3,17.4,0.73,0.498,1
RIOT,2025-01-30,14:32:00,11.83,2.66,3,5.4,0.91,1.141,1
RIOT,2025-02-07,14:30:00,12.16,0.91,3,16.0,0.61,0.828,0
RIOT,2025-02-20,14:30:00,11.81,1.69,3,15.0,0.42,0.376,0
RIOT,2025-02-28,14:35:00,8.75,2.74,3,3.3,0.94,1.291,1
MARA,2025-01-30,14:31:00,19.17,1.93,4,9.6,1.12,0.61,0
MARA,2025-02-03,14:30:00,17.33,0.06,3,16.1,1.15,-0.157,0
MARA,2025-02-07,14:30:00,17.64,1.25,3,13.6,0.52,0.678,0
MARA,2025-02-07,14:31:00,17.77,0.51,4,9.0,1.32,1.314,0
MARA,2025-02-27,14:32:00,14.52,2.27,3,4.4,2.02,0.697,1
MARA,2025-02-28,14:35:00,13.51,3.81,3,2.7,1.3,1.307,1
MARA,2025-03-04,14:36:00,13.9,1.01,3,2.6,1.17,0.417,0
HUT,2025-01-16,14:30:00,26.21,1.6,3,16.6,1.78,-0.412,0
HUT,2025-02-07,14:30:00,22.55,1.33,4,14.7,1.29,1.855,0
HUT,2025-02-07,14:31:00,22.67,0.79,4,9.2,2.31,2.965,0
HUT,2025-03-03,14:30:00,16.9,3.25,3,17.3,1.64,0.022,1
HUT,2025-03-03,14:32:00,17.38,0.29,3,4.7,1.51,0.486,0
CLSK,2025-01-03,14:30:00,9.6,4.48,3,17.0,0.42,0.345,1
CLSK,2025-02-06,14:30:00,10.72,2.05,4,18.0,1.25,0.262,1
CLSK,2025-02-07,14:30:00,12.14,2.76,4,15.3,2.64,2.516,1
CLSK,2025-02-07,14:31:00,12.31,1.26,4,8.9,2.41,4.228,0
CLSK,2025-02-28,14:35:00,7.59,3.03,3,2.7,1.15,1.587,1
BTBT,2025-02-06,14:30:00,3.2,2.19,4,18.5,1.44,0.519,1
BTBT,2025-02-07,14:30:00,3.28,1.29,4,13.1,1.74,0.992,0
BITF,2025-01-31,14:30:00,1.52,0.01,3,17.6,0.67,0.303,0
BITF,2025-02-07,14:30:00,1.5,0.31,4,16.1,1.71,2.52,0
BITF,2025-02-27,14:31:00,1.2,0.83,3,9.8,0.85,0.363,0
BITF,2025-02-27,14:32:00,1.21,0.01,3,2.1,1.27,0.48,0
BITF,2025-05-07,14:31:00,1.02,0.62,3,11.5,1.49,0.467,0
IREN,2025-01-07,14:31:00,12.07,2.73,3,6.9,1.33,0.411,1
IREN,2025-01-07,14:32:00,12.18,1.81,3,7.0,1.9,1.205,0
IREN,2025-01-10,14:32:00,10.67,0.0,3,2.0,1.3,0.415,0
IREN,2025-01-22,14:30:00,11.0,0.91,3,17.1,1.17,0.231,0
IREN,2025-02-06,14:30:00,11.52,4.13,4,17.8,1.78,1.257,1
IREN,2025-02-06,14:31:00,11.68,2.65,3,7.1,0.92,1.741,1
IREN,2025-02-06,14:32:00,11.76,2.0,3,5.5,1.39,2.331,0
IREN,2025-02-07,14:31:00,12.52,0.84,3,4.2,0.9,2.634,0
IREN,2025-02-07,14:32:00,12.6,0.0,3,5.0,1.79,3.275,0
